,Unnamed: 0,Symbol,Name,Buy,Analyst,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,agora_pred
491,491,RL,Ralph Lauren Corporation Common Stock,1,Buy,,,1.49,0.03,8.01,36.92,0.99,3.91,0.06,
492,492,RLGY,Realogy Holdings Corp. Common Stock,1,Buy,,,,0.04,2.97,18.21,1.1,9.73,0.18,
493,493,RLI,RLI Corp. Common Stock (DE),1,Buy,,,0.39,0.24,3.52,27.46,0.83,8.15,0.03,
494,494,RM,Regional Management Corp. Common Stock,1,Buy,,,,,,,,,,
495,495,RMAX,RE/MAX Holdings Inc. Class A Common Stock,1,Buy,,,,,,,,,,
496,496,RMD,ResMed Inc. Common Stock,1,Buy,0.04,0.16,0.34,0.15,6.7,19.81,0.68,1.58,0.01,1.0
497,497,RMO,Romeo Power Inc. Class A Common Stock,1,Buy,,,,9.24,-1.04,2.36,0.28,6.03,0.26,
498,498,ROK,Rockwell Automation Inc. Common Stock,1,Buy,0.04,0.1,1.4,0.23,10.24,19.56,0.83,6.08,0.03,1.0
499,499,ROL,Rollins Inc. Common Stock,1,Buy,,,0.58,0.15,0.74,2.24,0.41,7.82,0.04,
500,500,RPM,RPM International Inc. Common Stock,1,Buy,0.08,0.14,0.94,0.07,4.53,13.79,0.79,2.61,0.01,1.0
501,501,RPT,RPT Realty Common Stock,1,Buy,,,,,,,,,,
502,502,RRC,Range Resources Corporation Common Stock,1,Buy,,,2.32,-0.16,3.32,4.92,0.95,4.34,0.15,
