,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio,Buy
118,ULTA,0.36885,0.6520380952380953,0.0,1.703804,818874.0,0.07006,,12.09,35.541,1836308.0,0.0335,3.11,0.94158,0.027590001,1619827200.0,1675036800.0,2.22,19862573056.0,,2083819.0,0.038599998,0.41,1
119,MVIS,0.5149374999999999,0.1922285714285714,0.0,4.088251,2466859.0,0.0,,-0.26,0.43,31423545.0,0.1989,-0.102,0.14767,0.010720001,1617148800.0,1672444800.0,2.57,2360074496.0,,24110186.0,0.20030001,-4.7,1
120,BNTX,0.320515,0.28885,0.0,,3003348.0,0.5241,,-0.89,,1560956.0,0.0064,,0.16700001,0.01176,1625011200.0,1672444800.0,0.48,88734875648.0,,2229745.0,,-0.33,0
121,AA,0.4892299999999999,0.2181066666666666,0.0,2.699789,5480339.0,0.041199997,,4.46,17.395,12014472.0,0.0643,-0.403,0.79004997,0.00961,1625011200.0,1672444800.0,1.49,9385722880.0,,10384553.0,0.0644,0.04,1
122,RIG,0.48853,0.0249666666666666,0.0,3.623369,11200002.0,-0.089949995,,-0.74,18.364,77530913.0,0.12560001,-0.445,0.54523,0.058509998,1617148800.0,1672444800.0,4.23,9150655488.0,,77454966.0,0.134,-0.94,0
123,ADI,0.4587025,0.3645052631578947,0.6086,1.250543,4742214.0,0.25162,,6.96,32.989,40755491.0,0.1105,4.19,0.99167997,0.00322,1619827200.0,1667174400.0,12.05,65815552000.0,0.58,37904731.0,0.1108,1.92,1
124,CAT,0.5090549999999998,0.57905,0.65919995,0.916304,1900927.0,0.07991,,12.01,30.256,6020226.0,0.011,6.254,0.70301,0.0019200001,1617148800.0,1672444800.0,1.82,146951782400.0,0.401,5823732.0,0.011,0.64,1
125,BP,0.491915,0.22170625,,0.868907,7514463.0,-0.061389998,,3.01,22.452,9637719.0,0.0029,-3.342,0.08595,5e-05,1617148800.0,1672444800.0,0.97,139924078592.0,,11550551.0,,-2.61,1
126,TTD,0.5344299999999998,0.1860333333333333,0.0,2.477933,4994177.0,0.28983998,,7.04,21.401,1593886.0,0.0335,4.95,0.68717,0.00685,1609372800.0,1672444800.0,2.2,31249281024.0,1.982,1492214.0,0.0373,3.75,0
127,JNJ,0.6360199999999999,0.384296,0.71379995,0.711099,3151084.0,0.17948,,10.42,25.006,15161651.0,0.0058,5.661,0.69022006,0.00083,1617494400.0,1672704000.0,2.39,451325526016.0,0.069,15438973.0,0.0058,2.02,0
128,SENS,0.66701,0.2609333333333333,0.0,0.527165,17669501.0,0.0,,-0.15,-0.434,88695500.0,0.1993,-1.425,0.29238,0.1035,1625011200.0,1672444800.0,6.6,1448720384.0,,88517562.0,0.2054,-0.08,1
129,MMM,0.3129716666666666,0.17416,0.6029,0.956474,1220901.0,0.17294,,10.59,23.737,10963234.0,0.0189,9.772,0.68107,0.00122,1617148800.0,1672444800.0,6.25,128121208832.0,0.242,10073356.0,0.0189,2.2,0
130,MO,0.6107675,0.7209,1.4614999,0.644021,5627811.0,0.20987,,4.82,1.573,13656203.0,0.0074,2.331,0.61515,0.00096000003,1617148800.0,1672444800.0,1.86,111026995200.0,-0.082,11131275.0,0.0074,2.18,1
131,ACN,0.3711925000000001,0.3796333333333332,0.38439998,1.107584,972525.0,0.12051,,9.38,28.802,4332641.0,0.0068,8.45,0.72843003,0.00127,1622419200.0,1661904000.0,2.02,198069370880.0,0.262,4421673.0,0.0068,3.06,0
132,BRK.B,0.5928500000000001,0.3404666666666666,,,,,,,,,,,,,,,,,,,,,0
133,GLW,0.5659975000000002,0.0462,0.65690005,1.161956,2583181.0,0.09892,,2.38,14.413,9048773.0,0.0106,1.41,0.69816,0.09696999,1617148800.0,1672444800.0,2.23,42911440896.0,,7281543.0,0.0139,0.82,0
134,CL,0.5346650000000001,0.2590173913043477,0.5659,0.596739,1948849.0,0.15917,,3.51,0.31,8094699.0,0.0095999995,3.11,0.79879,0.00223,1617148800.0,1672444800.0,2.08,76135505920.0,-0.048,7770897.0,0.010199999,3.37,0
135,FDX,0.7015825,0.1703166666666666,0.1337,1.237224,1759288.0,0.0623,,20.37,82.84,3810320.0,0.0143,11.357,0.75261,0.07576,1622419200.0,1685491200.0,1.96,100997595136.0,,2871440.0,0.0155,1.14,1
136,HD,0.46146,0.3667517241379311,0.4483,1.048913,2713145.0,0.10446,,14.9,1.641,11015172.0,0.0104,13.718,0.72556996,0.00064000004,1619913600.0,1675123200.0,2.96,368764747776.0,0.846,10772431.0,0.0104,2.14,1
137,IBM,0.2823974999999999,0.4370727272727273,1.1087999,1.225788,1994402.0,0.07278,,12.05,23.938,25584027.0,0.0286,5.978,0.57692003,0.00133,1617148800.0,1672444800.0,6.77,174116093952.0,-0.187,25132045.0,0.0287,0.81,0
138,HON,0.5430849999999999,0.3111384615384615,0.5596,1.17663,1299007.0,0.14175001,,9.09,25.896,5745031.0,0.0083,6.532,0.77274,0.00119,1617148800.0,1672444800.0,2.27,159436783616.0,-0.097,5376400.0,0.0083,2.23,0
139,MCD,0.4707875000000001,0.1422125,0.73730004,0.627717,2216115.0,0.26306,,9.57,-9.697,5715249.0,0.0077,6.891,0.68961,0.00052,1617148800.0,1672444800.0,2.29,221042442240.0,0.389,6335774.0,0.0077,1.24,0
140,RTX,0.3155025000000001,0.2621533333333333,1.145,1.057557,2935166.0,0.03506,,,,14003598.0,0.0093,,0.8021,0.00116,1625011200.0,1672444800.0,2.88,158665965568.0,,13308014.0,0.0093,0.9,1
141,UPS,0.8109750000000002,0.3935923076923077,0.6864,1.054891,1490619.0,0.05776,,11.55,8.215,7260612.0,0.0083,5.922,0.70028,8.9999994e-05,1617148800.0,1672444800.0,1.99,196346068992.0,3.966,10392447.0,0.01,1.08,1
