,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio,Buy
40,SNAP,0.49265,0.177408,0.0,1.273168,8783555.0,-0.22489001,,0.67,1.123,47459010.0,0.03,-0.628,0.64182997,0.102819994,1625011200.0,1672444800.0,2.11,114100035584.0,,49442691.0,0.0403,2.27,0
41,SAVA,0.5683849999999999,0.3518399999999999,0.0,1.119565,15367534.0,0.0,,-0.88,7.028,3779071.0,0.0945,-0.296,0.27591,0.06488,1617148800.0,1672444800.0,2.64,2823976704.0,,3755560.0,0.099700004,-1.79,1
42,CLF,0.6773575,0.5103,0.0,2.301414,13889176.0,0.067329995,,1.64,4.786,44262301.0,0.088599995,-0.068,0.66283995,0.08876,1625011200.0,1672444800.0,1.5,18529533952.0,,47629236.0,0.1024,0.15,0
43,ROKU,0.6891850000000002,0.2758458333333333,0.0,1.759587,1970750.0,0.055809997,,1.12,18.452,3558090.0,0.0269,0.871,0.69635004,0.0021600001,1617148800.0,1672444800.0,0.73,51774709760.0,,3332878.0,0.0309,-10.75,1
44,DIS,0.5455950000000002,0.2390764705882352,0.0,1.196195,5920756.0,-0.07735,,5.02,47.078,21982594.0,0.0121,-2.491,0.66678,0.00124,1617408000.0,1664755200.0,2.27,372474707968.0,0.959,21514372.0,0.0121,1.38,0
45,NFLX,0.408485,0.2933638888888888,0.0,0.75326,2324282.0,0.14243001,,12.96,29.059,8930701.0,0.0201,8.263,0.82088,0.0149,1617148800.0,1672444800.0,2.92,243535331328.0,1.407,9122498.0,0.020499999,1.14,1
46,M,0.43628,0.2670390243902439,0.0,2.119565,12335877.0,-0.01312,,2.09,8.577,43114392.0,0.1382,-0.84,0.83671,0.00135,1619827200.0,1675036800.0,2.48,12133025792.0,,35001372.0,0.1841,-0.37,0
47,RBLX,0.63229,0.2796866666666667,0.0,,9717046.0,-0.27242002,,,,11086685.0,0.0195,,0.72026,0.03841,1617148800.0,1672444800.0,0.88,47002161152.0,,5610076.0,0.040799998,-83.17,0
48,GPS,0.3062824999999999,0.3732,0.2091,1.682263,13059108.0,0.027609998,,2.19,7.443,13781092.0,0.0365,1.149,0.5435,0.47022,1619827200.0,1675036800.0,2.49,15965090816.0,,14895206.0,0.067600004,3.28,0
49,VIAC,0.5069950000000001,0.2384166666666667,0.2212,1.674102,8707037.0,0.107530005,,,,45836571.0,0.0709,,0.85529,0.03701,1617148800.0,1672444800.0,2.47,42307985408.0,0.766,54985478.0,0.0785,-2.97,1
50,SQ,0.5089333333333333,0.15141,0.0,2.416304,6148855.0,0.02718,,2.1,5.09,31246646.0,0.0686,0.715,0.74031997,0.012309999,1617148800.0,1672444800.0,2.88,108906127360.0,,31583795.0,0.0801,2.61,1
51,SPCE,0.387055,0.1524571428571428,0.0,,12311135.0,0.0,,,,34321866.0,0.1426,,0.25948998,0.29609,1617148800.0,1672444800.0,0.95,12868125696.0,,39473198.0,0.2214,0.34,1
52,CSCO,0.5569600000000001,0.3092038461538461,0.5992,0.894566,11635823.0,0.20919001,,3.4,9.539,32077057.0,0.0076,2.419,0.75508004,0.00059,1619827200.0,1658707200.0,2.0,223226642432.0,0.032,36250889.0,0.0076,2.66,1
53,ZNGA,0.4515491525423729,0.176178947368421,0.0,0.040882,20498550.0,-0.06763,,0.47,2.72,79694737.0,0.0732,-0.422,0.82581,0.06562,1625011200.0,1672444800.0,5.37,8678902784.0,,71296034.0,0.078200005,3.06,0
54,SNOW,0.3465049999999999,0.3237125,0.0,,4974813.0,-0.91087997,,-0.52,16.763,11307432.0,0.0382,-3.229,0.63398,0.05095,1619740800.0,1675123200.0,3.63,75231092736.0,,13204977.0,0.052399997,4762.57,1
55,BIDU,0.5866575,0.2318999999999999,0.0,1.02663,4519106.0,0.42679,,11.41,682.955,6036368.0,0.0174,21.476,0.65235,0.0025600002,1617148800.0,1672444800.0,0.94,-7228234752.0,624.683,7297202.0,,1.72,1
56,CRWD,0.3403574999999999,0.3459571428571428,0.0,1.231075,4754656.0,-0.15858,,0.7,3.762,9465311.0,0.0419,-0.719,0.71720004,0.01411,1619740800.0,1675123200.0,2.53,56531001344.0,,12558120.0,0.0481,9.72,1
57,WFC,0.5008225000000002,0.478095652173913,0.1067,1.36256,15478124.0,0.22117001,,3.57,40.309,42171642.0,0.010299999,1.456,0.71479,0.00058,1625011200.0,1672444800.0,1.39,-9538359296.0,,46361216.0,0.010299999,0.09,1
58,RIDE,0.3509,0.2283125,0.0,,8348329.0,0.0,,,,34526485.0,0.19549999,,0.22542,0.3709,1617148800.0,1672444800.0,3.17,1388129408.0,,31300751.0,0.2706,0.1,0
59,JWN,0.5807100000000001,0.2534578947368421,0.0,2.448369,8198075.0,-0.028870001,,2.31,1.045,17473499.0,0.11,-2.129,0.55922,0.29569998,1619827200.0,1675036800.0,4.28,10865089536.0,,13209581.0,0.1378,3.81,0
60,FCX,0.6306424999999999,0.3361777777777777,0.039100002,2.140914,13262632.0,0.14981,,3.58,7.459,21625059.0,0.0148,1.228,0.78926,0.00574,1625011200.0,1672444800.0,0.88,66233466880.0,19.434,26095957.0,0.0165,0.72,0
61,PLUG,0.7068699999999999,0.6682468750000001,0.0,1.390532,17492733.0,0.0,,-0.17,8.685,43493578.0,0.0765,-1.523,0.53258,0.10104,1625011200.0,1672444800.0,1.53,11058139136.0,,49669977.0,0.0769,1.47,1
62,XOM,0.4223325000000001,0.2759076923076923,,1.422198,13893766.0,-0.104899995,,4.49,37.079,38118103.0,0.009,-4.471,0.53268003,0.00115,1617148800.0,1672444800.0,1.61,326746275840.0,,36725860.0,0.009,3.44,0
63,PINS,0.5587175,-0.0363666666666666,0.0,1.254041,7683134.0,-0.0046200003,,1.3,3.666,21309602.0,0.0335,-0.014,0.74768996,0.00637,1617148800.0,1672444800.0,1.4,45726687232.0,,21916886.0,0.039100002,1.39,0
64,C,0.704585,0.1492317073170731,0.2092,1.907477,12629213.0,0.30115998,,8.24,88.178,32127226.0,0.0159,7.289,0.79377997,0.00227,1625011200.0,1672444800.0,1.58,-213064220672.0,4.865,29755321.0,0.0159,0.24,0
