,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio
27,AAL,0.3976,0.3914681818181817,0.0,1.785906,24993243.0,-0.31082,0.489313,0.97,-11.842,90551765.0,0.1399,-9.845,0.54574,0.009980001,1625011200.0,1672444800.0,2.56,42978902016.0,,91490076.0,0.15689999,0.02
28,PTON,0.356452037617555,0.0725628571428571,0.0,,9805115.0,-0.04699,0.21285999,-1.41,5.844,22393171.0,0.075100005,-0.643,0.80955005,0.020639999,1625011200.0,1688083200.0,4.36,30399770624.0,,22358517.0,0.0849,47.35
29,MARA,0.4735949664429528,0.1318176470588234,0.0,4.48951,8111981.0,-0.78078,14.774319,3.48,5.827,17292824.0,0.1736,-0.265,0.3609,0.091709994,1625011200.0,1672444800.0,2.01,3701636352.0,,16863226.0,0.18200001,0.47
30,JD,0.3648421428571425,0.354691176470588,0.0,0.760623,13044413.0,0.04243,-0.07031155,14.29,139.65,25049213.0,0.0161,3.528,0.39444,0.06495,1625011200.0,1672444800.0,2.0,9388852224.0,-0.952,26417787.0,,2.09
31,HOOD,0.4714943786982245,0.3312086956521739,0.0,,8847512.0,-1.1609501,0.2533027,-0.15,-8.533,18953704.0,0.0225,-8.5,0.36896,0.07534,1625011200.0,1672444800.0,0.33,37540397056.0,,,0.0344,-0.13
32,ABNB,0.3998532142857144,0.32391875,0.0,,7403951.0,-1.1096901,0.07815635,0.4,5.482,12501742.0,0.0199,-10.764,0.47695,0.00275,1625011200.0,1672444800.0,2.07,91661279232.0,,9927692.0,0.0372,-1.12
33,INTC,0.4419710000000001,0.2829681818181818,0.30110002,0.593329,22350100.0,0.23906,0.062020063,4.43,21.002,54359155.0,0.0134000005,4.503,0.64939004,0.0007,1624665600.0,1672012800.0,2.38,229386584064.0,-0.009,52670908.0,0.0134000005,1.12
34,GM,0.3880799283154122,0.0471419354838709,0.0,1.328671,14293107.0,0.0913,0.6505538,6.94,34.446,23228824.0,0.016,8.611,0.82956004,0.04916,1625011200.0,1672444800.0,1.42,164724260864.0,,17654846.0,0.016,0.63
35,LCID,0.4552000000000001,0.48770625,,,11454697.0,0.0,1.0859454,,-321.108,45485947.0,0.028099999,-306.762,0.6379,0.038,1625011200.0,1672444800.0,4.28,5744467968.0,,,,
36,RIOT,0.2744035143769966,-0.350659375,0.0,4.449704,6891314.0,0.44504002,9.053333,1.39,7.443,19600065.0,0.2043,0.418,0.29589,0.14413,1625011200.0,1672444800.0,2.03,3453577472.0,,19697561.0,0.2056,1.75
37,T,0.5084676767676769,0.2789108108108108,,0.749327,39791112.0,-0.0110599995,-0.07600951,3.22,22.731,108450881.0,0.0152,-0.305,0.53694,0.00097000005,1625011200.0,1672444800.0,3.61,403922190336.0,0.226,104557700.0,0.0152,3.07
38,SOFI,0.4696846394984326,0.4085590909090908,,,14530694.0,-0.58616,0.16311479,-0.08,5.294,15887670.0,0.02,-4.399,0.25273,0.26099002,1625011200.0,1672444800.0,0.88,13704177664.0,,10950502.0,,
39,TSM,0.3917126470588233,0.1195583333333333,0.4738,0.997789,8092398.0,0.38149,0.4591049,4.75,384.065,17152539.0,0.0033000002,3.83,0.1714,6.0000002e-05,1625011200.0,1672444800.0,2.27,312232509440.0,0.112,16590180.0,,1.8
40,SNAP,0.4063362416107381,0.1925079999999999,0.0,1.273168,18385532.0,-0.22489001,2.324855,0.8,1.844,44851608.0,0.028399998,-0.501,0.65544,0.102819994,1625011200.0,1672444800.0,2.1,116922400768.0,,49955067.0,0.0381,2.27
41,SAVA,0.4801221428571424,0.2430458333333333,0.0,1.060785,13645870.0,0.0,16.292208,-0.44,6.91,5402461.0,0.135,-0.382,0.28101,0.06487,1625011200.0,1672444800.0,0.84,1853209600.0,,4421598.0,0.1425,-1.79
42,CLF,0.6248777777777776,0.5103,0.0,2.20979,19295359.0,0.067329995,2.5517752,3.6,6.47,44516214.0,0.089099996,1.744,0.73091006,0.08919,1625011200.0,1672444800.0,1.7,18339635200.0,,44262301.0,0.103,0.15
43,ROKU,0.5637310077519377,0.271956,0.0,1.762376,2850220.0,0.09911,0.9852736,1.64,19.213,3496175.0,0.026199998,1.722,0.71288,0.00176,1625011200.0,1672444800.0,0.77,45875343360.0,,3333876.0,0.0301,-10.58
44,DIS,0.4141494117647063,0.1560470588235294,0.0,1.200645,8430281.0,0.01771,0.34766006,5.13,48.243,18715779.0,0.010299999,0.61,0.66429,0.00123,1625270400.0,1664755200.0,2.2,380978200576.0,,21594113.0,0.010299999,1.38
45,NFLX,0.4045149019607843,0.3033921052631578,0.0,0.751479,2268839.0,0.15921,0.01730299,12.81,31.324,9411019.0,0.021300001,9.651,0.82018995,0.01528,1625011200.0,1672444800.0,2.85,260754538496.0,0.879,9731049.0,0.0216,1.14
46,M,0.4046768987341771,0.2487724999999999,0.0,2.115115,14184074.0,0.023529999,2.2039943,3.42,10.067,36247531.0,0.116000004,1.645,0.88728,0.00226,1627689600.0,1675036800.0,2.93,12796874752.0,,40435210.0,0.1543,-0.37
47,RBLX,0.3900091772151899,0.2595714285714286,0.0,,4725728.0,-0.27206,0.17798567,-0.71,0.917,19707446.0,0.0343,-1.228,0.79977,0.0385,1625011200.0,1672444800.0,2.98,45574516736.0,,20244472.0,0.071100004,-83.17
48,GPS,0.4214396825396829,0.3483055555555555,0.1831,1.630446,10290688.0,0.04531,0.5047834,2.47,8.032,15019870.0,0.0398,1.974,0.56503,0.4722,1627689600.0,1675036800.0,2.63,14698288128.0,,13781092.0,0.073699996,2.76
49,VIAC,0.5324400000000005,0.32753,0.1879,1.680473,12153642.0,0.12635,0.45234656,4.04,31.111,44927908.0,0.0695,5.326,0.70425004,0.036989998,1625011200.0,1672444800.0,3.96,40574541824.0,1.154,45908343.0,0.077,-2.97
50,SQ,0.4327973076923076,0.1820666666666666,0.0,2.426573,6190163.0,0.036,0.63158524,2.37,5.873,36105977.0,0.0785,1.108,0.74684995,0.01204,1625011200.0,1672444800.0,3.65,125584089088.0,,31749780.0,0.0913,2.59
51,SPCE,0.4416575289575287,0.2257333333333333,0.0,,28123515.0,0.0,0.4290638,-0.96,1.848,27097995.0,0.105299994,-1.787,0.26094,0.25057,1625011200.0,1672444800.0,0.87,5875518464.0,,32354489.0,0.1478,0.34
52,CSCO,0.4372433333333335,0.263226923076923,0.584,0.894566,19873915.0,0.21259001,0.40685225,3.43,9.79,36677064.0,0.0087,2.5,0.75047994,0.00058,1627689600.0,1690761600.0,2.68,236300075008.0,0.142,32077057.0,0.0087,2.66
53,ZNGA,0.4541095774647889,0.2012894736842105,0.0,0.040882,20488000.0,-0.06763,-0.020948172,0.45,2.766,73150720.0,0.067,-0.157,0.84285,0.06571,1625011200.0,1672444800.0,3.13,9668189184.0,,79694737.0,0.0715,3.06
54,SNOW,0.2953818181818181,0.3368,0.0,,14711702.0,-0.89375,0.172961,-0.19,16.677,11858117.0,0.04,-2.92,0.63436,0.05095,1627689600.0,1675123200.0,3.94,84734443520.0,,12415830.0,0.054899998,6298.86
55,BIDU,0.488108754208754,0.2943666666666666,0.0,1.025282,5831020.0,0.37229002,0.2068069,70.46,657.668,8882486.0,0.0255,19.485,0.60324,0.00418,1625011200.0,1672444800.0,1.85,-16347372544.0,,7570765.0,,1.72
56,CRWD,0.3340811320754715,0.2587115384615385,0.0,1.22549,8621669.0,-0.15858,0.99297094,0.71,3.762,10350566.0,0.0458,-0.719,0.73811996,0.0143099995,1619740800.0,1675123200.0,4.16,63763714048.0,,9465311.0,0.052600004,9.72
57,WFC,0.412633432835821,0.479732,0.1067,1.36256,71464011.0,0.22117001,1.0128899,3.62,41.703,50700845.0,0.0123000005,3.734,0.72746,0.00093999994,1625011200.0,1672444800.0,1.82,-11016667136.0,,42171642.0,0.0124,0.09
58,RIDE,0.4296602941176472,0.2409333333333333,0.0,,7211976.0,0.0,-0.6249275,-1.56,3.392,35098361.0,0.1983,-2.281,0.30027,0.36992002,1625011200.0,1672444800.0,3.81,779146176.0,,31879877.0,0.2013,0.1
59,JWN,0.4169730555555554,0.247,0.0,2.444862,5869099.0,0.0,0.8465086,2.37,1.687,17908353.0,0.11270001,0.002,0.61922,0.29589,1627689600.0,1675036800.0,6.44,8765128704.0,,18798554.0,0.14130001,3.76
60,FCX,0.4390746874999996,0.3361777777777777,0.039100002,2.094136,15336294.0,0.14981,1.2645242,3.64,8.182,23659207.0,0.0161,1.916,0.78569,0.00569,1625011200.0,1672444800.0,1.33,65979879424.0,19.434,21625059.0,0.018099999,0.72
61,PLUG,0.5819872727272729,0.6795000000000001,0.0,1.390532,11014751.0,0.0,0.8492569,-0.22,8.462,50438263.0,0.087799996,-1.512,0.50475,0.1011,1625011200.0,1672444800.0,2.72,11190241280.0,,43493578.0,0.0883,1.47
62,XOM,0.3364686111111111,0.25854,,1.4298,26117821.0,-0.061750002,0.39893484,4.87,37.456,36367546.0,0.0086,-3.12,0.53533,0.00117,1625011200.0,1672444800.0,1.83,297655336960.0,,32797166.0,0.0086,3.43
63,PINS,0.4425875000000002,-0.11674,0.0,1.239943,11396014.0,0.07182,0.47262776,1.39,3.895,17176840.0,0.026600001,0.252,0.79240996,0.0061799996,1625011200.0,1672444800.0,1.22,34393387008.0,,21472526.0,0.031,1.39
