,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio
87,DKS,0.3212200913242007,0.4374181818181817,0.111099996,1.716514,2199072.0,0.1069,1.5300195,9.37,35.713,8864481.0,0.099300005,12.192,1.12362,0.04334,1627689600.0,1675036800.0,8.16,13313347584.0,0.79,9294626.0,0.1604,0.51
88,VZ,0.4228991666666666,0.2515888888888889,0.5197,0.455621,18405561.0,0.15045,-0.07420552,5.37,17.798,50816502.0,0.0123000005,4.827,0.66059,0.00017999999,1625011200.0,1672444800.0,3.52,403352158208.0,0.234,50276438.0,0.0123000005,2.91
89,QS,0.526531506849315,0.282325,0.0,,4571419.0,0.0,1.1400001,-0.46,3.634,35639959.0,0.086,-5.363,0.28662002,0.30044,1625011200.0,1672444800.0,4.0,7370358272.0,,31558254.0,0.1634,
90,VALE,0.4202533333333331,0.12756,0.49490002,0.562776,21785791.0,0.30987,0.69028866,4.3,41.375,43993498.0,0.0088,3.417,0.25614,0.000120000004,1625011200.0,1672444800.0,1.98,123978620928.0,6.581,53863805.0,,0.11
91,GOLD,0.4057559090909089,0.054355,0.3479,0.00196,11911822.0,0.19861001,-0.33096927,1.27,13.314,22417402.0,0.0126,1.41,0.62708,0.0055400003,1625011200.0,1672444800.0,1.5,43745792000.0,0.151,28260194.0,,-2.46
92,GS,0.4220270588235294,0.247978947368421,0.091400005,1.487358,1958083.0,0.36582002,1.0130439,37.67,287.8,4578554.0,0.0136,54.464,0.72950995,0.00537,1625011200.0,1672444800.0,1.83,-178887802880.0,13.708,4088043.0,0.0136,0.33
93,SBUX,0.4952937500000001,0.1513699999999999,0.73330003,0.881118,6995511.0,0.104270004,0.3085456,3.73,-5.768,8102453.0,0.0069,2.402,0.7076,0.00169,1624752000.0,1664236800.0,1.3,154943143936.0,,11962998.0,0.0069,0.69
94,WDAY,0.4192178571428568,0.3164222222222222,0.0,1.259817,1860305.0,-0.0078799995,0.16228366,3.81,15.597,7947701.0,0.0322,-0.156,0.93160003,0.009430001,1627689600.0,1675123200.0,5.29,66139668480.0,,8469176.0,0.0424,3.62
95,V,0.3636064748201436,0.2615933333333333,0.2545,0.993544,9402926.0,0.47971,0.06813562,7.26,16.297,27246335.0,0.0128,4.945,0.96672994,0.00126,1625011200.0,1664496000.0,3.45,496583278592.0,0.085,28403785.0,0.0162,2.06
96,AEO,0.4942259999999999,0.439875,0.3716,1.457772,5698029.0,0.03379,1.4757433,2.35,7.011,21817561.0,0.1301,0.806,1.1405001,0.06854,1619827200.0,1675036800.0,6.0,6268324864.0,,22359173.0,0.1663,1.95
97,TGT,0.4970172881355933,0.4106769230769231,0.2167,0.99462,3796666.0,0.06287,0.66417515,12.94,30.348,8119576.0,0.0166,12.533,0.81112,0.00207,1627689600.0,1675036800.0,3.01,129803419648.0,0.075,8325374.0,0.0166,1.51
98,SPLK,0.4958824267782428,0.4025,0.0,1.20979,1741729.0,-0.49598,-0.31016594,-1.03,6.918,6765863.0,0.041300002,-7.363,0.85837,0.00347,1627689600.0,1675123200.0,4.13,26073640960.0,,6278113.0,0.049000002,1.31
99,QCOM,0.6204660231660233,0.4127190476190476,0.32880002,1.318988,7298996.0,0.28257,0.19613147,9.22,7.249,15499903.0,0.0137,8.003,0.74257004,0.00131,1624752000.0,1664236800.0,2.13,168375320576.0,1.399,14743128.0,0.0138,0.56
100,NKE,0.3466295918367343,0.2978333333333333,0.3006,0.878429,6898059.0,0.12859,0.43861306,5.07,8.091,11538168.0,0.0073,3.56,0.83024,0.012209999,1622419200.0,1685491200.0,2.44,265127067648.0,,13069172.0,0.0115,2.34
101,JMIA,0.4611,0.1914,0.0,3.656461,3502420.0,-1.05389,1.1542554,-1.87,2.505,12596246.0,0.1278,-2.003,0.30438998,0.00049,1625011200.0,1672444800.0,3.62,1188659840.0,,12523773.0,,
102,MS,0.2877425925925926,0.1970785714285714,0.1855,1.54653,6585159.0,0.24861999,0.95474184,7.21,54.035,22233715.0,0.012200001,7.544,0.66623,0.20903999,1625011200.0,1672444800.0,2.24,-22648438784.0,0.099,16259389.0,0.0154,2.17
103,KO,0.4844438461538461,0.3300857142857142,0.88769996,0.62937,14185706.0,0.22188,0.14372969,2.43,5.156,28462020.0,0.0066000004,1.871,0.69081,0.00638,1625184000.0,1672444800.0,2.32,273523638272.0,0.485,25366495.0,0.0066000004,2.45
104,EBAY,0.3254427272727272,0.1510117647058823,0.20729999,1.089295,6466224.0,1.12829,0.44548,4.44,19.691,30651243.0,0.047199998,18.526,0.9422,0.03821,1625011200.0,1672444800.0,4.01,42014281728.0,13.389,27589254.0,0.047199998,1.45
105,FSR,0.540042396313364,0.4086999999999999,0.0,,5367021.0,0.0,-0.04982698,-0.89,3.751,36147008.0,0.1221,-1.548,0.43633997,0.03229,1625011200.0,1672444800.0,3.75,3188423680.0,,32271078.0,0.22719999,-0.04
106,NKLA,0.3373454128440366,0.3791733333333333,0.0,,10180834.0,0.0,-0.746068,-0.96,2.127,61118603.0,0.1535,-1.289,0.23913999,0.5107,1625011200.0,1672444800.0,4.62,3368478720.0,,46216704.0,0.1861,-0.58
107,BYND,0.3292420091324199,0.4449952380952382,0.0,1.602341,1808719.0,-0.20107001,-0.07247496,-0.41,4.04,12121811.0,0.1916,-1.452,0.53931,0.10864,1625270400.0,1672444800.0,5.83,7743547904.0,,10133516.0,0.22760001,27.31
108,CVX,0.4377329999999997,0.259725,2.7861,1.310381,14977831.0,0.03091,0.18428016,7.63,68.867,15259412.0,0.007900001,1.884,0.67819,0.00035,1625011200.0,1672444800.0,1.63,226463596544.0,,15298000.0,0.007900001,-3.09
109,SHOP,0.6199454545454548,0.422125,0.0,1.450779,514539.0,0.63647,0.3655759,6.43,81.118,1701322.0,0.0136,19.468,0.70557,0.00274,1625011200.0,1672444800.0,1.34,186579976192.0,23.421,1702755.0,0.026300002,7.61
110,CMCSA,0.5116374517374517,0.2083124999999999,0.35819998,1.03604,16373990.0,0.114379995,0.3254162,3.81,20.684,68301598.0,0.0149,2.681,0.85301,0.00666,1625011200.0,1672444800.0,5.57,367537225728.0,0.251,72898390.0,0.015,0.99
111,TME,0.3767272151898734,-0.0331777777777777,0.0,1.026315,15634602.0,0.1286,-0.46578783,2.53,30.982,21968118.0,0.012999999,0.374,0.59416,0.09757,1625011200.0,1672444800.0,1.51,-2090455424.0,-0.119,20631132.0,,5.99
112,RCL,0.4967046511627906,0.1354277777777777,0.0,2.814416,2730659.0,0.0,0.19774759,1.05,30.955,15502012.0,0.060900003,-22.179,0.7404,0.14086,1625011200.0,1672444800.0,3.07,38589521920.0,,12005180.0,0.0673,-0.08
113,MA,0.3514875486381323,0.1752428571428571,0.2333,1.171597,6750238.0,0.43221,-0.021208763,10.65,6.52,5250638.0,0.0053,7.198,0.77262,0.11034001,1625011200.0,1672444800.0,1.5,355646930944.0,0.455,4220485.0,0.006,1.66
114,SDC,0.4400046666666665,0.1069823529411764,0.0,,9709280.0,-0.09372,-0.45510203,-0.31,1.793,34094392.0,0.087799996,-1.972,0.66954005,0.02365,1625011200.0,1672444800.0,4.82,856894976.0,,28982009.0,0.3243,-0.3
115,SKLZ,0.3878661073825503,0.3606923076923077,0.0,,38023390.0,-0.80778,-0.03727275,-0.43,1.348,57276912.0,0.1421,-0.718,0.57796,0.15085,1625011200.0,1672444800.0,4.29,3574870016.0,,49898269.0,0.1898,
116,ETSY,0.3414911242603549,0.3208411764705881,0.0,1.595481,1769654.0,0.2245,0.7505026,3.6,4.195,9648474.0,0.0762,3.474,0.91425,0.0060799997,1625011200.0,1672444800.0,3.22,27395416064.0,0.019,9015510.0,0.0862,1.27
117,EXPR,0.3612469534050179,0.4269142857142857,0.0,1.800968,4925594.0,-0.114870004,4.6923075,0.16,-0.353,3987000.0,0.060100004,-2.733,0.57993,0.02852,1627689600.0,1675036800.0,0.77,1315401856.0,,4232016.0,0.0616,0.22
118,ULTA,0.4911884615384616,0.6514390243902439,0.0,1.692845,771413.0,0.095010005,0.6453538,16.23,34.526,1972876.0,0.036,12.957,0.9239,0.02779,1627689600.0,1675036800.0,3.95,21911025664.0,30.159,2045636.0,0.041500002,0.4
119,MVIS,0.4876959119496858,0.1212,0.0,3.939752,3054105.0,0.0,8.132075,-0.11,0.786,26985802.0,0.16459998,-0.182,0.26184,0.01174,1625011200.0,1672444800.0,4.95,2279355904.0,,29572612.0,0.1656,-4.7
120,BNTX,0.4841775147928995,0.1675642857142857,0.0,,3327466.0,0.5241,4.565414,38.61,22.465,2073039.0,0.0085,18.226,0.16754,0.01176,1625011200.0,1672444800.0,0.35,83543654400.0,,2032465.0,,-0.33
121,AA,0.4483893416927899,0.2191733333333333,0.0,2.699789,6059644.0,0.041199997,2.0027266,4.78,20.17,12320038.0,0.0659,2.303,0.79019,0.00961,1625011200.0,1672444800.0,1.53,10570454016.0,,11429530.0,0.0661,0.04
122,RIG,0.3430596666666665,0.0249666666666666,0.0,3.665411,8957031.0,0.04329,1.8399999,-0.74,17.818,60623132.0,0.093100004,0.194,0.53304,0.075619996,1625011200.0,1672444800.0,3.19,8861058048.0,,53881446.0,0.099,-0.94
123,ADI,0.2999390322580644,0.311755,0.5733,1.223776,8410388.0,0.26153,0.406029,7.28,33.307,41313653.0,0.1122,4.57,1.02208,0.00319,1627689600.0,1667174400.0,13.71,65334427648.0,0.388,41654419.0,0.1125,1.91
124,CAT,0.4083136666666667,0.57905,0.5176,0.889725,2857877.0,0.09568,0.4477918,12.44,30.747,9032732.0,0.0165,7.967,0.6981,0.00191,1625011200.0,1672444800.0,2.58,143374843904.0,2.085,6162729.0,0.0165,0.64
125,BP,0.4415689999999997,0.22170625,0.4911,0.893939,8513516.0,0.04375,0.18921518,3.38,23.322,11427642.0,0.0034,2.568,0.088719994,2.0000001e-05,1625011200.0,1672444800.0,0.95,140578521088.0,,9637719.0,,-2.61
126,TTD,0.4351622418879056,0.1860333333333333,0.0,2.487288,2713243.0,0.25438,0.5671693,0.81,2.513,16169838.0,0.033800002,0.531,0.67399,0.00658,1625011200.0,1672444800.0,2.83,38221455360.0,0.899,15658024.0,0.0375,3.75
127,JNJ,0.4654555555555557,0.3898407407407407,0.615,0.705755,7106790.0,0.1992,0.14611936,10.44,26.436,16697897.0,0.0063,6.652,0.69441,0.00081,1625356800.0,1672704000.0,3.04,465333846016.0,0.731,15763653.0,0.0063,2.02
128,SENS,0.6274251572327043,0.2609333333333333,0.0,0.527165,11323970.0,0.0,7.072034,-0.21,-0.702,89223559.0,0.20040001,-1.728,0.29246,0.1035,1625011200.0,1672444800.0,7.25,1595654528.0,,92301715.0,0.2066,-0.08
129,MMM,0.457105666666667,0.17416,0.5836,0.958579,2626609.0,0.17038,0.19035196,10.78,24.969,10966691.0,0.019,10.112,0.68747,0.00116,1625011200.0,1672444800.0,5.49,127195463680.0,0.167,11520448.0,0.019,2.2
130,MO,0.5121910714285712,0.7209,1.4041001,0.656266,7533572.0,0.21410999,0.15259743,4.84,1.765,11216083.0,0.0061000003,2.445,0.60507,0.00097000005,1625011200.0,1672444800.0,1.94,118057672704.0,0.106,14176954.0,0.0061000003,2.18
131,ACN,0.2501230366492145,0.3542199999999999,0.38439998,1.107584,1641335.0,0.12051,0.36337888,9.87,30.488,4670270.0,0.0074,8.949,0.72690004,0.00127,1622419200.0,1661904000.0,2.93,207689220096.0,0.262,4332641.0,0.0074,3.06
132,BRK.B,0.5236137855579871,0.3404666666666666,,,,,,,,,,,,,,,,,,,,
133,GLW,0.6499365384615385,0.1119818181818181,0.84400004,1.145777,5896260.0,0.13141,0.18872404,2.41,14.272,12643621.0,0.0148,1.061,0.69211996,0.09676,1625011200.0,1672444800.0,3.62,40104742912.0,,10842077.0,0.0194,0.82
134,CL,0.4263710714285713,0.2590173913043477,0.5531,0.596019,2294292.0,0.15977,-0.022962391,3.47,0.55,11005302.0,0.012999999,3.2,0.7985,0.0022200001,1625011200.0,1672444800.0,2.64,72678686720.0,0.107,6099549.0,0.0139,3.37
135,FDX,0.5324307432432437,0.1365999999999999,0.1337,1.237224,1637587.0,0.0623,0.1777699,23.6,90.399,3810320.0,0.0143,19.478,0.75267,0.07576,1622419200.0,1685491200.0,1.96,100406755328.0,,2871440.0,0.0155,1.14
136,HD,0.4613049999999998,0.323316,0.4433,1.030123,4183144.0,0.10554,0.14394629,15.25,1.959,11669945.0,0.0111,14.197,0.71884,0.00065,1627776000.0,1675123200.0,4.36,382018912256.0,0.11,11033388.0,0.0111,2.14
137,IBM,0.4082109090909091,0.4370727272727273,1.122,1.216245,4235101.0,0.07169,0.12617505,11.84,24.48,25600763.0,0.0286,5.917,0.57682997,0.00133,1625011200.0,1672444800.0,6.08,176525606912.0,-0.026,26193861.0,0.0286,0.81
138,HON,0.4791104545454543,0.3111384615384615,0.5241,1.186121,1850146.0,0.14647001,0.34440768,9.2,25.982,8003891.0,0.0116,7.034,0.76746005,0.00125,1625011200.0,1672444800.0,2.18,170392879104.0,0.323,5743022.0,0.0116,2.23
139,MCD,0.4845453846153846,0.1357555555555555,0.5571,0.633136,2938351.0,0.31715,0.09415901,9.88,-7.777,6216413.0,0.0083,9.189,0.6874,0.00046999997,1625011200.0,1672444800.0,2.47,223543459840.0,3.587,5358784.0,0.0083,1.24
140,RTX,0.5560466666666669,0.2621533333333333,1.145,1.057557,3969570.0,0.03506,0.36774194,5.04,47.209,14598154.0,0.0097,1.457,0.79915,0.00115,1625011200.0,1672444800.0,3.25,154372718592.0,,13067578.0,0.0097,0.89
141,UPS,0.6013461240310077,0.216090909090909,0.5876,1.054868,2616473.0,0.06573,0.1928066,11.7,12.391,9242617.0,0.0106,6.95,0.70445997,8.0000005e-05,1625011200.0,1672444800.0,3.01,185249906688.0,0.514,7962995.0,0.0127,1.08
