Conversation
West Bancorp reached a 52 Week low at 17.29
WTBA is up 6.37% to 26.70
WTBA reached a new 52 Week Low at $19.58
West Bancorporation is up 5.02% to 28.44
WTBA is up 5.68% to $22.50
West Bancorporation is down 5.13% to 26.45
West Bancorp is up 6.37% to 17.37
West Bancorp is down 5.09% to 17.81
West Bancorp is up 4.90% to 20.11
West Bancorp is up 6.14% to 20.40
WTBA reached a 52 Week low at 19.15
WTBA is down -7.17% to 22.65
West Bancorp is down 5.25% to 16.80
WTBA reached a new 52 Week Low at $22.40
West Bancorp is down 6.11% to 17.51
West Bancorp is up 8.92% to 17.83
WTBA reached a 52 Week low at 18.03
WTBA is up 7.61% to 16.69
WTBA reached a 52 Week low at 16.64
West Bancorp is up 9.84% to 17.19
West Bancorporation is up 4.94% to 27.17
West Bancorp reached a 52 Week low at 18.03
West Bancorp is down 4.95% to 16.12
WTBA is down -8.68% to 24.20
WTBA reached a new 52 Week Low at $20.50
WTBA reached a 52 Week low at 17.29
WHY ISN'T THIS STOCK MOVING TODAY? DOES ANYONE KNOW?
West Bancorp is down 6.39% to 16.27
West Bancorp reached a 52 Week low at 16.64
WTBA reached a 52 Week low at 15.12
WTBA reached a new 52 Week Low at $21.06
West Bancorp reached a 52 Week low at 19.15
West Bancorp is down 4.91% to 20.54
West Bancorp is up 5.35% to 19.48
West Bancorp is up 5.06% to 26.39
West Bancorp is down 6.26% to 19.60
West Bancorp is up 4.90% to 23.74
West Bancorp is down 10.89% to 15.47
Wish I bot this at 7. Bot it at 16. Nice little div. Great buyout candidate.
