Conversation
Liberty Broadband reached an all time high at 156.95
LBRDK is down -5.94% to 76.55
LBRDK is down 5.12% to $76.75
LBRDK reached a new 52 Week Low at 76.55
Liberty Broadband reached an all time high at 155.26
LBRDK is down 5.02% to $77.60
LBRDK is up 4.95% to 112.46
LBRDA reached a new 52 Week Low at 77.24
Bought in for a slow reversal back to 70+
LBRDA is down 5.09% to $76.81
why the almost 10% drop? Is it just a normalization of the PE? Can this go back to its recent highs?
LBRDK is up 5.15% to 80.70
Liberty Broadband is up 5.35% to 147.99
Liberty Broadband is down 5.00% to 160.49
Liberty Broadband reached an all time high at 162.01
LBRDA is up 5.16% to 93.29
why is this down so much?
it's ready to fly. just watch.
Liberty Broadband reached an all time high at 150.51
LBRDK reached a new 52 Week Low at 70.40
Liberty Broadband is up 5.03% to 145.98
Liberty Broadband is down 4.91% to 125.43
With 70% of float held by institutions... what makes the share price move? Is it just earnings report that we can expect a significant move or are there other events that can move it? Just curious since I have only been a share holder for a month.
LBRDA is down 5.21% to $77.86
"Not a solid choice if you base on Zacks rank, my opinion."
"Hi guys, just bought in on recommendation from sharp people. My broker could only sell me the LBRDA stock. Can anyone help me explain the difference between LBRDK and LBRDA stock?"
LBRDA is up 4.95% to 80.26
When Liberty buys that company that allows wireless broadband... it will split 8 times and settle in the 600. range. Cord cutting is the pot of gold !
empirefinancial strongly recommended this stock on Wednesday. same is motley and many other institutions. I am following empire financial for year now and their recommendations are always profitable.
LBRDK is up 5.36% to 94.34
LBRDA is down -5.55% to 76.55
Liberty Broadband reached an all time high at 143.23
Up 8% on TD
"when will Charter be taken over/merge with someone. Waiting patiently for many years, although with significant cap gains."
Lots of sharp people who manage money love this stock and think its undervalued.
"people who don't have Memphis with motley or empire financial, just waNt to let you know that both recommend to buy thus stock today."
"A bidding war about to start, John should own this"
Liberty Broadband reached an all time high at 141.66
Liberty Broadband (LBRDK) could be a solid choice for investors given its recent upgrade to a Zacks Rank #1 (Strong Buy). This rating change essentially reflects an upward trend in earnings estimates -- one of the most powerful forces impacting stock prices.
Liberty Broadband reached an all time high at 148.66
