Conversation
Bank of Commerce is up 7.21% to 12.05
Bank of Commerce is up 6.85% to 7.33
Bank of Commerce reached a 52 Week low at 8.60
BOCH is down 8.74% to $10.13
Bank of Commerce is up 9.77% to 10.79
Bank of Commerce reached a 52 Week low at 8.21
Bank of Commerce is up 5.02% to 14.02
BOCH reached a new 52 Week Low at 8.40
Bank of Commerce reached a 52 Week low at 8.90
Bank of Commerce is up 7.43% to 8.24
Bank of Commerce reached a 52 Week low at 5.77
Bank of Commerce is up 9.37% to 8.52
BOCH is up 4.96% to 13.55
BOCH reached a new 52 Week High at 13.10
Bank of Commerce is down 5.25% to 9.56
BOCH is up 5.13% to $12.60
BOCH is down 5.34% to $11.45
BOCH is down -29.32% to 8.80
BOCH is down 5.08% to $12.15
Bank of Commerce reached a 52 Week low at 9.35
