Conversation
GNTY is up 5.51% to 26.11
Guaranty Bancshares reached a 52 Week high at 33.73
GNTY is down 8.16% to 22.50
GNTY is down 5.38% to 27.46
GNTY is up 6.00% to 22.79
GNTY is up 5.34% to 31.39
GNTY reached an all time low at 20.88
GNTY is down 9.47% to 21.90
GNTY is up 7.45% to 23.94
Guaranty Bancshares is up 9.38% to 36.95
Guaranty Bancshares is up 7.94% to 29.77
Guaranty Bancshares is down 6.08% to 31.44
Guaranty Bancshares is up 5.61% to 35.98
Guaranty Bancshares is up 4.92% to 33.68
GNTY is down -5.09% to 31.49
this stock will be up monday by 5%.
Guaranty Bancshares is down 6.47% to 23.85
Guaranty Bancshares is up 5.08% to 32.50
GNTY reached a 52 Week low at 27.95
Guaranty Bancshares is down 5.05% to 31.43
GNTY is up 9.35% to 23.03
Guaranty Bancshares reached an all time low at 20.88
GNTY is up 4.90% to 35.09
GNTY reached an all time low at 27.46
Guaranty Bancshares reached an all time low at 23.34
Guaranty Bancshares reached a 52 Week high at 33.12
GNTY is down 9.32% to 22.66
0.15 exdividend tuesday 9/25/18
GNTY is up 4.95% to $30.75
Guaranty Bancshares reached a 52 Week high at 34.56
GNTY reached an all time low at 23.34
Guaranty Bancshares is down 5.65% to 28.21
Guaranty Bancshares is down 6.49% to 33.01
GNTY is down 5.31% to 25.75
GNTY is up 5.18% to 32.28
GNTY is up 10.03% to 22.88
GNTY is up 5.69% to 31.94
Guaranty Bancshares is up 7.75% to 37.10
GNTY is down 5.38% to 23.39
GNTY reached an all time low at 26.84
Guaranty Bancshares is up 5.88% to 41.02
Guaranty Bancshares is down 5.79% to 32.40
Guaranty Bancshares is up 6.12% to 24.97
GNTY is down 4.93% to 27.17
GNTY is down 5.86% to 27.96
Guaranty Bancshares is up 4.90% to 29.09
Guaranty Bancshares is up 5.51% to 26.11
Guaranty Bancshares is up 7.45% to 23.94
Guaranty Bancshares is down 8.16% to 22.50
Guaranty Bancshares is up 5.59% to 36.37
Guaranty Bancshares is down 4.93% to 27.17
Guaranty Bancshares is up 5.31% to 29.54
GNTY is down 8.47% to 23.89
Guaranty Bancshares is down 5.38% to 23.39
