Conversation
Chemung Financial is up 5.47% to 42.24
Chemung Financial is up 7.60% to 30.00
CHMG is down 9.95% to 23.61
CHMG is down -10.38% to 42.83
Chemung Financial is up 7.75% to 46.28
CHMG is down 6.30% to 39.80
whats going on? why so much volatility?
Chemung Financial reached a 52 Week low at 25.17
CHMG is down -6.28% to 46.38
CHMG is up 7.60% to 30.00
You don’t like money? If you actually like to make money trading join ULTIMATESTOCKALERTS today! Their Nasdaq and nyse alerts have killed it for me in the past. Cant wait for the next one.
CHMG is up 5.16% to 48.71
Chemung Financial is down 6.02% to 36.52
CHMG reached a 52 Week low at 37.90
CHMG reached a 52 Week low at 23.31
Chemung Financial is up 5.85% to 37.27
CHMG is down -5.22% to 45.20
CHMG is up 10.66% to 25.75
CHMG is up 11.76% to 35.65
Looks like a winner to me.
CHMG reached a 52 Week low at 27.38
CHMG is down 11.21% to 26.53
CHMG is up 11.00% to 31.90
CHMG reached a 52 Week low at 26.60
CHMG is up 9.69% to 25.69
CHMG is down 6.68% to 25.01
CHMG reached a 52 Week low at 22.19
"BIG VOLUME, SOMETHING IS UP"
Chemung Financial is down 6.68% to 25.01
Chemung Financial reached a 52 Week low at 33.32
What's not to like about CHMG?
banknewsletter.com loves chmg and OPY ! Both takeout targets
CHMG is up 4.92% to $40.39
Chemung Financial is down 11.21% to 26.53
Chemung Financial is down 6.04% to 41.95
Chemung Financial is up 8.48% to 36.45
CHMG about to double ? video at STOCKTRADEVIDEO (Google them)
Chemung Financial reached a 52 Week low at 23.31
Chemung Financial is up 7.50% to 38.08
CHMG reached a 52 Week low at 33.32
Chemung Financial reached a 52 Week low at 27.38
Chemung Financial reached a 52 Week low at 26.60
CHMG reached a 52 Week low at 31.62
CHMG reached a 52 Week low at 36.42
Chemung Financial is up 5.25% to 35.50
Chemung Financial is down 14.79% to 25.76
CHMG is down 7.78% to $37.44
CHMG is down 6.65% to 32.01
CHMG is down 14.34% to 28.25
things_losers_don't_like_to_do. http://dataunion.tistory.com/10384 Experience means learning the exceptions.
CHMG is down 12.63% to 27.25
Chemung Financial is up 6.95% to 25.40
CHMG is down -4.91% to 41.03
CHMG reached a 52 Week low at 36.91
CHMG is up 6.95% to 25.40
CHMG is up 5.08% to 51.76
CHMG is down -7.86% to 46.34
Chemung Financial is up 5.32% to 46.13
Chemung Financial is up 5.13% to 48.70
CHMG reached a 52 Week low at 25.17
CHMG is up 7.65% to 46.32
Chemung Financial is up 13.61% to 29.21
Chemung Financial is down 6.34% to 33.69
Chemung Financial is up 7.26% to 41.98
CHMG is up 5.16% to 51.60
Chemung Financial is down 6.65% to 32.01
Chemung Financial is down 12.63% to 27.25
Chemung Financial reached a 52 Week low at 31.62
