Conversation
HIW is down 7.88% to 37.28
HIW reached a 52 Week low at $40.24
Highwoods Properties is down 5.14% to 41.72
Analysts expect 53.6% earnings growth in 3 years from Highwoods Properties $HIW https://simplywall.st/NYSE:HIW/highwoods-properties
HIW reached a 52 Week low at 31.62
HIW is up 8.66% to 30.99
Rebounding
HIW is down 9.46% to 32.07
HIW reached a 52 Week low at 30.10
Highwoods Properties is up 4.91% to 35.26
Highwoods Properties is down 5.07% to 33.54
HIW reached a 52 Week high at 49.56
Highwoods Properties is up 5.23% to 40.07
Highwoods Properties is up 6.68% to 39.11
HIW reached a 52 Week low at $38.49
ex div tomorrow
Highwoods Properties is down 4.99% to 29.90
HIW is up 9.30% to 33.84
HIW is up 4.92% to 47.09
new low a coming
HIW reached a new 52 Week Low at 43.59
HIW is down 5.14% to 41.72
HIW reached a new 52 Week Low at 44.62
HIW is up 6.29% to 33.96
Highwoods Properties is down 7.88% to 37.28
HIW is up 6.68% to 39.11
HIW is down 7.79% to 33.49
HIW reached a 52 Week low at $39.18
HIW is down 10.37% to 25.25
HIW is down 10.15% to 36.33
HIW is down 5.09% to 43.86
Highwoods Properties reached a 52 Week low at 33.37
HIW reached a 52 Week low at 37.89
HIW is down 4.93% to 46.86
Highwoods Properties reached a 52 Week low at 37.89
HIW reached a 52 Week low at 27.16
HIW reached a 52 Week low at 26.10
HIW reached a 52 Week high at 52.01
A very overpriced reit ????????????
Highwoods Properties is down 10.15% to 36.33
HIW reached a 52 Week high at 52.00
HIW reached a 52 Week low at 33.37
HIW reached a 52 Week low at 40.33
Highwoods Properties reached a 52 Week low at 40.33
HIW is down 5.60% to 45.05
HIW reached a new 52 Week Low at 46.35
Highwoods Properties is down 5.60% to 45.05
HIW is up 8.52% to 32.72
Highwoods Properties is up 9.93% to 32.87
