,Ticker,Conversations,Headlines
0,ACST,0.2506274999999999,0.22673000000000001
1,AKTX,0.2289156249999999,0.05123333333333333
2,BELFB,0.03985999999999997,0.09815454545454544
3,CCLP,0.24215812499999995,-0.017349999999999994
4,CPIX,-0.005362637362637363,0.0036857142857142857
5,DYAI,0.30082083333333326,0.1338
6,EBIX,0.2673105555555553,0.0
7,EVOK,0.29197111111111085,0.06147500000000001
8,FCAP,0.4149444444444444,0.03078571428571428
9,FLDM,0.4588849999999998,0.2421666666666667
10,GTH,0.02518727272727273,0.03350000000000001
11,HUGE,0.125009243697479,0.10638571428571429
12,JBSS,0.05614925373134328,0.11515384615384618
13,JCS,0.14180499999999996,0.08038
14,JOUT,0.047169298245614014,0.22101428571428575
15,MARK,0.2180685534591195,0.24961250000000001
16,MMAT,0.23049559748427673,0.10814210526315791
17,NCSM,-0.03794533333333336,0.0
18,NWS,0.013500000000000003,0.13808
19,PBTS,0.15892911392405065,0.18951538461538464
20,POWL,0.008164864864864866,0.06359999999999999
21,PSEC,0.322736111111111,0.48264615384615384
22,REDU,0.05147834394904457,0.14741111111111108
23,RGP,-0.0441776595744681,-0.02147272727272728
24,SNGX,0.3562405555555555,0.22273750000000003
25,TOPS,0.2798601851851852,0.38709999999999994
26,TRMT,0.1514910256410256,0.5106
27,TYME,0.30436363636363645,-0.0648125
28,UFPT,0.28451923076923075,0.039418181818181824
29,WTER,0.29177022471910113,0.15082307692307692
30,ACB,0.1100673611111111,0.19101851851851853
31,AMCX,0.25865777777777776,-0.07315625
32,CLOV,0.18319999999999997,0.16367333333333337
33,FIZZ,0.33763099999999974,-0.061328571428571434
34,GGAL,0.15778434343434344,0.23031428571428572
35,INVA,0.14367278481012663,0.08231666666666666
36,MVST,0.17941700000000005,0.12340000000000001
37,ORPH,0.11080961538461534,0.11843333333333333
38,PAHC,0.027659999999999994,0.010324999999999996
39,QIWI,0.23643833333333333,0.0
40,YQ,0.22582201257861634,0.17275714285714286
41,AAIC,0.11925625,0.4089666666666667
42,ABEV,0.21093313609467457,0.04003636363636364
43,ADT,0.18742642857142852,0.056575
44,AEG,0.16953562499999994,0.0
45,AGM,0.02973591549295775,0.19587500000000002
46,AGR,0.07809999999999999,0.1330909090909091
47,AJRD,0.059850625000000025,0.20276249999999998
48,ALE,0.026458208955223887,0.16543999999999998
49,ALX,-0.020404545454545443,-0.11492
50,AM,0.1874062499999999,0.04588
51,AMC,0.26872799999999986,0.19330312500000002
52,AMR,0.08165786516853936,0.1468
53,APAM,0.16753381294964032,0.28606666666666675
54,ARI,0.10641187500000002,-0.025144444444444445
55,ARR,0.2478442857142857,-0.023257142857142858
56,ARW,0.015770129870129875,0.26250000000000007
57,ASB,0.012850292397660801,0.07646428571428572
58,ATIP,-0.010484166666666666,0.10846666666666667
59,AVAL,0.030986000000000017,-0.20125
60,AWI,0.03838196721311475,-0.051635714285714285
61,AZUL,0.2513540404040402,-0.10560000000000001
62,BAP,0.042294827586206875,0.0
63,BCSF,0.038259677419354834,-0.047725
64,BEN,0.04015749999999998,-0.08581428571428573
65,BGS,0.41660222222222215,-0.46757499999999996
66,BIG,0.2401182389937107,0.15293333333333334
67,BKE,0.171731875,0.0
68,BMI,0.02984558823529412,0.09135555555555558
69,BOH,0.01075666666666667,0.0393
70,BPMP,0.18514000000000003,-0.08440833333333332
71,BRFS,0.03956315789473687,0.22866
72,BTU,0.0778738888888889,0.19473846153846155
73,CAAP,-0.001707031249999999,-0.028025000000000008
74,CAI,0.11565945945945943,0.15684285714285714
75,CAJ,0.03320442477876106,0.365525
76,CANG,0.3191843749999998,0.14656
77,CBU,0.15846969696969698,0.10756923076923078
78,CCO,0.335896875,0.42624444444444454
79,CCU,0.11691428571428568,0.3243
80,CEPU,0.06264304635761593,0.2202
81,CFR,-0.01706428571428573,0.15264545454545456
82,CHH,-0.07461311475409838,0.0
83,CHS,-0.0025370000000000136,0.18673333333333333
84,CHT,0.02054,0.0678875
85,CIG,0.17615125,0.21113999999999997
86,CIM,0.27756166666666665,0.07294285714285716
87,CL,0.220945625,0.012866666666666667
88,CLB,-0.030383333333333373,0.003483333333333329
89,CLDR,0.4628400000000001,0.050575
90,CLI,-0.08946290322580638,0.06113999999999999
91,CLS,-0.02000372340425534,0.08457142857142856
92,CLX,0.20390499999999986,0.02953333333333334
93,CMC,0.29674666666666677,0.13297272727272727
94,CNA,-0.024922580645161282,-0.2294
95,COR,-0.009598611111111106,-0.02263
96,CORR,0.15820125000000002,0.23310000000000003
97,CPAC,0.027279069767441863,0.0
98,CPB,0.17462624999999996,-0.11551999999999998
99,CPLG,-0.033743564356435655,0.10415
100,CRS,0.03486279069767441,-0.26761
101,CTK,0.03115,0.0
102,CUK,0.21463165467625905,-0.054266666666666664
103,CVI,0.2944254777070064,-0.008557142857142834
104,CXP,0.1271151515151515,0.2612666666666667
105,DDD,0.19420063291139242,0.04683333333333333
106,DDS,0.2593219999999999,0.17
107,DIDI,0.2766597122302158,-0.13105
108,DK,0.1877224999999999,-0.28595
109,DKL,0.09477909604519776,0.033518181818181815
110,DRQ,-0.029782075471698116,-0.18475
111,E,0.07929799999999995,0.15025454545454545
112,ELVT,0.17929199999999995,-0.1027
113,ENBL,0.38093111111111116,0.45879999999999993
114,EPAC,-0.0050024390243902424,0.08194285714285714
115,EQC,0.06046701030927835,0.06554285714285714
116,ETRN,0.1474132596685083,-0.20507142857142857
117,EXPR,0.264713125,0.11333333333333334
118,FET,0.11559111111111112,-0.3818
119,FHI,0.03179014084507042,0.016607142857142855
