,Recent headlines and conversations for NKE,Polarity
666,Watch for falling knives - like NKE stock,0.5199
667,"Nike just put the NFL in checkmate! The NFL owners are simply checkbooks. They aren't running their own businesses. The players' union and sponsors like Nike OWN the NFL!!! Unfortunately, they don't care about Americans, and they certainly don't care about our veterans and pride in our country. They only care about their own political agenda. I sincerely hope Americans vote with their wallets. Don't buy Nike products. Not just today or tomorrow, but NEVER! This is bigger than a simple ad campaign. This is how Nike feels about America, and they just poked their finger in the eye of this country's proud men and women!",0.9742
668,Nike to the moon,0.0923
669,The stock will drop below $80 after earnings. This history proves after each earning the stock drops.,-0.2934
670,I guess K needs the money and NIKE has more money than sense!,0.2061
671,"I am shorting NOW with both fist, and shorting HARD ,this is tanking, will open up 79.50 wed morning 60s next week",-0.1687
672,Sold NKE bought UA will never purchase anything swoosh again.Once a sweatshop always a sweatshop no matter what the diversion.,-0.1692
673,"Nothing but negativity here, yet the stock is less than 2% off it's ath. I don't get it??....",0.7374
674,I have a good friend in the business. He really believes that the economic shutdown of the world's 2nd biggest economy will affect earnings of American companies whose revenues are exposed to China. Number 2 short $NKE. Stay tuned for short number one.,0.0802
675,The good news is this will all be over in a couple of weeks,0.2913
676,mean Kapernicks not working out? lol,0.5395
677,I think these shares are worth $50 at most. This stock is in the stratosphere right now.,0.5988
678,JUST DO IT! JUST BUY ADIDAS!,0.474
679,"House Speaker Paul Ryan wanted to increase the retirement age of social security to 70, making everyone wait and contribute longer......he now will retire at 48 and collect a pension that will be millions more than any of us will get from social security. I guess the “great” is only for politicians.",0.3936
680,Head of marketing and the board are looking at huge litigation costs. Today’s sell off is just the beginning .,0.43
681,"Not only boycotting Nike but anyone who associates with them. Boycotting anything to do with the NFL, LeBron James, Converse, Hurley, etc.Need to demand that retailers no longer carry Nike products or boycott those retailers too. It won't be long before they won't be able to give this #$%$ away except to the low lifes of the world.",-0.8995
682,he will not stand for the anthem but he will stand for child labor! great moral compass!,0.8777
683,"Comic Amy Schumer backs Colin Kaepernick and says she won't do Super Bowl adsMy and my Veteran friends are PSYCHED for Nike and America, Cheers!!!",0.7222
684,Nike announces a new MAGA hat. Show you Patriotism on July 4th!!,0.3859
685,I’m going to enjoy this more than shorting Tesla,0.5435
686,still ain't gonna sell my shares,0.2633
687,They better change their name,0.5484
688,"Combination of entire market rallying, short covering, and heavily padded earnings report. Take your profits and run.",0.4332
689,NEWS ALERT: NKE offers free sneakers to Taliban and ISIS members to give them a running edge on the battlefield !,0.774
690,no way will this stay afloat,-0.3558
691,"According to analysts at Bank of America Global Research brands like Brooks, HOKA One One, On Running, and Nike’s (NKE) performance running sneakers stand to benefit from a resurgence in interest in running outdoors.BofA’s analysis shows that Google search trends for Brooks — which is owned by Berkshire Hathaway (BRK-A, BRK-B) —are up 83%, while searches for HOKA, owned by the Deckers Outdoor (DECK), are up 65%, and Swiss startup On Running (which counts Roger Federer as an investor) has seen searches rise 28%.The firm also notes that searches for Nike Running are outpacing this entire group, rising 104% through May 24.“We believe key beneficiaries from the relative momentum in performance running are [Nike] & [Deckers Outdoor],” BofA wrote in a note to clients published Monday.",0.9891
692,"the liberals on here are right. nike is for the urban crowd and they don't need us ""privileged"" people anymore. just visit the site and notice what color most of the models are. they are really targeting the urban people. good bye, nike!",0.4146
693,What a terrible business decision. This is going to permanently damage the company.,-0.6195
694,HILARY'S NEW OFFICE WILL HAVE A WINDOW,0.2314
695,With the NFL stepping in and not allowing the campaign to air on NFL games... the controversy will only increase as the libs claim foul...But the NFL should have the right to say they dont want someone who is suing them to have a platform for his case air on their programingNIKE loses big here...If they get to reup their NFL deal in the future its gonna cost them for this clusterF...And that OF the NFL will even consider it... it all boils down to jersey sales moving forward,0.9246
696,This is right up there with the Dixie Chicks dissing America. Anyone remember them?Who will remember Nike in 10 years?,0.3387
697,Nike single best performer on the Dow today,0.7683
698,"1) highest Administration staff turnover ever2) Press Secretaries are now considered to be an endangered species4) Rudy Giuliani is Secretary of State5) highest national debt ever6) most Government shutdowns ever7) most improved short game ever (bigly, believe me)8) highest national deficit ever9) Vote Donald Trump/David Dennison/John Baron",0.4022
699,"Nike, drop Serena ASAP",-0.4462
700,MARKET MOVING UP NKE DOWN OH NO BAG HOLDERS WHAT DO YOU DO NOW,0.1154
701,"I thought millennials were all over this, insistiing it was going to sky-rocket?? What happened?",-0.23
702,"as parents outside your agency's target, we still control the money of where we spend the money on our teen children.As mentioned yesterday, not 1 farthing shall ever be spent on any NIKE PRODUCTYou either STAND for something or you'll fall for anything",0.5061
703,The boycott is hitting Nike hard today.,-0.352
704,by when it hits. $ 23,0.0604
705,I am more of a hands on learner vs reading books. What are your thoughts on this live trading course? https://livetradingcourse.training/l4qgw,0.2174
706,false positive this stock will tank before Christmas...,0.1512
707,"Nike just lost me as a customer. Thank you for outing yourself, Nike, as an anti American company. You won't be seeing any of my money. I've done the same with Starbucks and have been loving it!",0.6698
708,NFL Viewing down 8% good luck running ads,0.7939
709,NIKE?? ewwwwwww,0.0
710,Place 60 day limit order for Nike at $111,0.3509
711,"THE ORIGINAL GENDER NEUTRAL STOOGE SEEMS TO BE OLD AND BITTER, PROBABLY BECAUSE LIFE DIDN'T WORK OUT FOR IT THAT WELL",0.2125
712,This will go down as a textbook case study blunder of why couldn’t mpanies shoukd never play politics...,0.3566
713,Keep voting until we win. Lol,0.7945
714,$120 by next year,0.0089
715,All Nike does is win,0.5747
716,Hasn't been enough time to see the true affect that this whole Kraperneck issue will have. Big gamble to enter NKE right now. What until the sales data is released.,0.5028
717,Nfl ratings continue to decline...NKE,0.1674
718,Kap proposed to Caitlin on 2 knees,0.0227
719,It's a decision between respect or not respect your flag. Nike chose to disrespect US flag. I am an independent. I respect my flag.,0.8648
720,"Ok, so as far as the pps goes, currently both ppl from the left and right have some valid points. But let’s consider this... with the controversy, is it not safe to say that there’s enough concern from investors of the controversies impact that we shouldn’t see the pps increase much higher ..at least until confirmation of the impact is fully revealed? I would think that a certain amount of caution in investors would prevent the stock from running much higher.... Thoughts?",0.7725
721,It’s too much work this back and forth b.s all because Kaepernick couldn’t pass,0.207
722,"Kaepernick and his like are ignorant. Slavery was an imported institution from the old world and likely began in Africa. My white great grandfather fought under the American flag to first end slavery's progression into new states and then to end it for all time in the south. i truly believe the most rabid racists in America are currently black. His behavior and that of the black racists may ignite a white backlash and the gains of the past century in civil rights could be lost. Impossible? Just look what happens when a citizenry has been put under severe stress, financial or otherwise, in other countries.",-0.9332
723,Nike has been exploiting third world slave labor for years as it pushes political correctness here in the good ol USA .Sounds like Nike has been taken under control by the Chinese Communist Party! I haven't purchased a Nike product in years! Time to choke the woke culture!,-0.3863
724,Nike is Not Worth A Premium Price Anymore.Way too much Uncertainty Moving forward.My 12 Month Trading Target is $43.......................ace,0.4419
725,$75 todayCheers!!!,0.0
726,I,0.0
727,"Didnt he walk away.He wasnt ready then, he certainly isnt ready now!.",0.7855
728,All these early pronouncement of the Kap ad success reminds of libtards and fake news TV predicting a landslide victory for Hilary. They never learn...,0.7861
729,Canaccord Genuity Analysts Issued A Buy Rating On Nike. Canaccord Genuity Is The Same Brokerage House That Pumped MoviePass And Parent Co #Hmny From $30/ Share Down To $.02/ Share.,0.7354
730,Looks like the news media will not report Nike's less than stellar performance with kaepernick as their main hero. When the stcok was 84.00 the Yahoo front page wanted you to believe it was because of kaep...now that it is tanking no word on same front pages. Go Kaep Go!,0.8362
731,and away goes NIKE down the drain,-0.2528
732,NIKE is playing up to the liberals to HIDE their human rights violations...period....,0.125
733,#justburnitWhy on earth would a company put themselves in the middle of a politically polarized debate where they could lose 60% or potentially 72% of their US customers? Some liberals respect their country too or have served in the military or police forces.Why do most liberals hate America so much? It is amazing that the Dem party has been taken over by anti-American groups?#walkaway #justburnit,0.6793
734,Wow Dow up over 100 !! Looks like Bear Market for NKE only :(,0.5438
735,Swoosh there goes the stock price,0.3407
736,"Nike already has my money so it doesn't make sense for me to burn my shoes. I do promise this, moving forward, I'll never buy Nike again.",0.7813
737,Time to sell,0.086
738,"Nike screwed up by pushing their political views in their customers . Not only will the oldies stop buying Nike for themselves, they’ll stop buying Nike for their kids and grandkids so Nike can rely on the broke kids to buy their hundred dollar shoes . Good luck",0.167
739,Believe in NKE....even if it means loosing it ALL...LMAO,0.034
740,Stock split?,0.324
741,Forever Hong KongFrell IranNever Nike,-0.0116
742,Hard for me to imagine anyone investing in a company that thinks its smart to alienate half or more of its customer base.,0.4899
743,Boycott Nike!,-0.3802
744,5 in my family NO MORE NIKE...BOYCOTT..,-0.3713
745,Time to lawyer up shareholders !,0.7882
746,"Nike downgraded today...No reason to expect sales gains...CEO Parker (AKA P.T. Barnum ""Sucker Born Every Day"") the NIKE / Kapernick AD/HOAX appears is Being exposed?? Only CEO Parker believes ""any Hit/Visit? "" is good? Parker where is your ""WONDEFULL Kapernick ad? NFL will not let you run it?? after the Eagles Home opener Ratings Flop? Parker ??/ Scared of US Advertising LAWS? specificly the ""Truth In Advertising"" Part? about the ""BIG MYSTERY?"" of what NIKE states Kapernick Gave up for something he believed in?? Parker ? Kaps Ego said I must start!!! Then MONEY as would not take pay cut for Denver??? Then ""Free Agent Flop"" ???To the Parker Kapernick AD?HOAX??/ Parker runs AD??? the government will want Nike/Parker to ""EXPLAIN"" exactly what Kapernick gave ""UP"" as stated in false AD?? Parker says Sucker born every day??? Well stock reporters??? Parker ...""Sucker Born Every Day"" Step right up!! Everybody wins!",0.9601
747,$BANI is one to look into. How long will it be before this company and it’s product is featured during NBA and NFL games?,0.754
748,"Nike usually has a pop in sales 12 months after the olympics. So after the reopening trade this spring, expect another strong year in 2022.",0.7122
749,apr 72.5 puts already doubled +,0.1023
750,Gonna drop tomorrow,-0.2711
751,Tomorrow Action to be alerted:7:00 AM : $71.388:30 AM : $70.259:30 AM : $69.1810:00 AM $67.384:00 PM $67.38,0.3796
752,"more sale, awesome!",0.711
753,karl said NKE would be at $60 this weeklololz,0.0715
754,BOOM!! NIKE declared War on us.What else were they expecting??,-0.4295
755,"New York Sports Club owner files for bankruptcy- but NKE digital sales are up, or figures are FLUFFED? https://www.cnn.com/2020/09/14/investing/new-york-sports-club-bankruptcy/index.html",0.3343
756,NIKE JUST DID IT,0.1158
757,When is the last Nike shoe to be made??? will it be a special Goodbye fare well shoe?? showing when Nike started to its sudden ending???,0.4441
758,Great news from nikeNew nike go fly ease modelOn sale this month,0.8666
759,Individual-2https://washex.am/2Llk64Whttps://nyti.ms/2E3r6D1,0.0
760,80.4279.4278.4277.42What happened to 79.50 Prophet ?? You said it would hold!!,0.3476
761,"JL, are you saying that people will not have money to buy nike urban shoes? LOL",0.6575
762,"Well, my associates at The Institute have just informed me that our Nike stock is outperforming the DOW with splendid gains. In fact, our endowment fund is now even more well-endowed. Congratulations, Nike shareholders!",0.9455
763,He was probably framed by the dems.,0.1592
764,BEEN EVERYDAY THE STOCK PRICE DECLINES NIKE IS APOLOGIZING ROFLMAO,0.4804
765,"Imagine disliking a President who has the stock market above 28,000 and a solid economy... TRUMP 2020 the do nothing Democrats are just jealous",-0.0156
766,So much for Wednesday gain back to the 60s,0.5596
767,NIKE TO ZERO,-0.0046
768,millennials are selling their 10's of shares,0.2628
769,https://www.foxsports.com/nfl/story/colin-kaepernick-49ers-start-chip-kelly-nfl-buffalo-stats-career-highlights-fantasy-101116,0.0
770,Look at this guy.Did I say anything about options? I shorted the stock.,0.3587
771,"By the way, additional info about dividends mentioned in my previous post. Holly Energy (HEP) $33.08 per share and pays 8.6%,($2.64) Sun Coke Energy (SXCP) is $15.95 and pays 10.26 % ($1.60). Nike is paying 0.96% ($ .90). You can sell one share of Nike and buy 5.3 shares of SXCP and get $8.51divedend for the year. Simple math and makes a lot more profit.",0.9615
772,It’s so funny how all the dems are pointing fingers about the fake bomb maker yet they support cop killing ? I’m confused,-0.7933
773,"Nike CEO on conference call now with O.J., Bill Cosby, and Louis Farrakhan.",0.6842
774,WOW what a pile of doodey this stock is.I need to walk awy on this for today.I need to focus on the fed at 2 but I will be back to short again tomorrow.,-0.2178
775,the high was $86.04...... UNDER $74 NOW......$60'S coming soon,0.0332
776,"DAVE THEY WONT EVEN SHOW THE COMMERCIAL ANYMORE, WHAT A STATEMENT THEY MADE ROFLMAO",0.6143
777,Just sell it!,0.254
778,Green tomorrow...150 in 2020,0.001
779,I haven't bought a Nike product in years.......but will start now.,-0.1077
780,Nike shoes now come with a free pager and afro pic!,0.7072
781,We are Americans! NKE is Not!,0.2219
782,TALE OF TWO PRESDIENTS - Mark 'Oz' Geist: Trump's decisive leadership would have saved my Benghazi teamhttps://www.foxnews.com/opinion/mark-geist-trump-decisive-leadership-would-have-saved-benghazi-team,0.5038
783,Nike sales increased! I bet someone is getting their news from CNN.,0.682
784,After 3 seasons of getting slammed NFL has nothing to brag about.Billions lost wont ever come back.Good thing for them Legalized Gambling saved this season so far.,0.7088
785,"Nike has lost over $3,000,000,000 In Market Cap since the announcement.Mares says there’s No Damage. Is mares Just a Jaw Flapper?????????...................ace",-0.8998
786,NKE crosses 83.Thanks KAP!!!,0.0
787,Robin Hood App short circuiting says local news source $$NKED,0.0155
788,"The First Amendment is a proscription against GOVERNMENT suppression of, infringement on, speech, not the PRIVATE SECTOR'S. A football league and team owners absolutely have the right to dictate to players (employees) what they may or may not say (including in the form of ""protest"") during the hours of their employment.It's just that simple.",0.0473
789,nike telling people to do the right thing even if it mean sacrificing everything...how about try making your product in america then?,-0.2123
790,"Nike is a global brand with over $30 billion in sales - more than $17 billion comes from Europe, Middle East, Africa, China, Latin America, Asia Pacific. A handful of Americans selling their stock or burning their goods - is barely going to dent their stock. I'm sure the foreign markets will have no problem buying all the shares anyone decides to sell.",0.7812
791,There you have it. The inmate Kaepernick is officially running the Nike asylum.,0.3037
792,Nike 52 week high coming up.,0.4668
793,If this money were going to some left-wing charity the drive-by media would be all over it!!https://www.foxnews.com/media/rush-limbaugh-betsy-ross-shirts-3-million,0.6588
794,abandon ship. this thing is going south,-0.7075
795,Its gonna take some time for it to reflect on earnings. I bought about $300 worth of nike this quarter before I new about the Kap deal. I wont be buying any nike ever again.,0.5482
796,"NKE sales continue growth, never stopped, NKE sales can keeping continue growth in future, SO long-term buy NKE.",0.6394
797,THERE IS SOMETHING SERIOUSLY WRONG IN THIS COUNTRY WHEN YOU HAVE TO SHOW I.D. TO CHECKOUT A LIBRAY BOOK BUT NOT TO VOTE !!,0.7549
798,POTUS approval rating all time high. Yay!,0.8311
799,Short Nike!!!,-0.6164
800,Unfortunately people don’t care about child labor. Great earnings swing play,0.8579
801,I NO LONGER will buy nor Support Nike.,-0.1319
802,MY AMD JUST WENT GREEN PROPHET WAS RIGHT GREAT STOCKS DO GO UP IN DOWN MARKETS JUST DOESN'T WORK FOR NIKE ROFLMAO,0.8541
803,"lol, tiny trades after hours. This company's stock is in trouble",0.2287
804,"Better than expected revenues and earnings, but I was also hoping for a stock split. I believe that a more affordable stock price might bring in new investors which would hopefully increase the share price.",0.9721
805,Stock forecast Wednesday 86.00Thursday 84.00Friday. 81..00No buyers at all for this stock at $90.00 or above level.,0.7054
806,October KraeperCrash is here!! Sell at any price!! GET OUT BEFORE ITS TOO LATE!!,0.7641
807,Let's see San Fran. lost starter maybe they can sign Kaepernick as backup then Nike can watch their star just doing it! .(Kneeling that is),0.5632
808,how did nke do last earnings?,0.0646
809,The true damage will show when they report their next financials and sells are down,-0.2022
810,"Great quote from a veteran. I don't wear nikes, they hurt my feet when I stand for the national anthem",0.5702
811,When will we be seeing the nike sneakers with the Iranian flag on the side of them.,-0.0131
812,nke drops 3% to 79 FROM 82 after krappernick announcement. nke now at 76.48. FACT!,0.5525
813,feel sorry for those who had this one as their top holdings in a mutual fund. OUCH!,0.1474
814,It'll be green by the end of the day...........NOT!,-0.0919
815,I own no Nike products at all anymore and won't buy any.,-0.3028
816,made in USA is high quality than china,0.6736
817,Nike!,0.0
818,Down she goes like Hillary on her special girlfriend,0.6418
819,"nike & the nfl, a pair of LOOOOOSERS",-0.1486
820,Great minds discuss ideas. Average minds discuss events. Small minds discuss people. Eleanor Roosevelt,0.7557
821,Buy American made sneakers. Sketchers and Asics. American Jobs!,0.2283
822,It’s gonna go back to $135. Unnaturally jumped yesterday without even a Tom Tom..... can’t maintain,-0.0111
823,"Yes! Smash this enemy company! Yes! I love it, lesson them real good! Ha ha!",0.9333
824,once nike had it all.soon they'll have nothing.,0.2559
825,Just wait til Xmas. 50% of America not buying,0.7705
826,"One more thing, I am a veteran, I work on a military base, and many military and civilians on the base still wear NIKE. I am a veteran who supports NIKE and 401ks!",0.843
827,"i used to buy Nike product, no more Goto hell Nile.",-0.7238
828,Sports entertainment is not politics......got that Big Hair Krapnerick?,0.5708
829,People who want Chinese made sneakers are opting for HIKE or NIRE sneakers at 1/2 the price of nikkes.,-0.2109
830,October KraeperCrash for NIKE,0.0102
831,Sold my 2500 shares right after the announcement ! This anti-american company does not deserve any support.,0.7598
832,"David Duke and Louis Farrakhan were not available, so Nike found the next best racist",0.1314
833,"Volume, at this point, looking lower than yesterday. I can't imagine longs can sustain as volume continues to evaporate in the uncertainty of NKE... and, I believe, the next time we here a report about current sales.. it will most likely reflect negatively.",-0.6718
834,Nike lost me as a customer. new balance all the way,-0.3943
835,"So you are a Millennial with No Thought Process to drive this Country Forward.You didnt have to tell me, all I had to do was read your post.................ace",0.3939
836,See ya Nike,0.0129
837,The people rushing to buy are the same ones asking for a hand out. Then they wonder why they dont have cash!,0.7385
838,anyone else waking up at 6am to beat others to dump shares? lol,0.6017
839,New Nike slogan “Just Do it and buy Under Armor”,0.2183
840,$130.00We will close,-0.1592
841,Pop goes the NKE Bubble,-0.1169
842,Michael Cohen knows how many Trump paid for.Trump in 1999: ‘I am Very Pro-Choice’https://www.nbcnews.com/meet-the-press/video/trump-in-1999-i-am-very-pro-choice-480297539914,-0.0582
843,don't buy converse either because Nike owns it,-0.1316
844,"Justice Ruth Bader Ginsburg calls Trump a 'faker,' says he should resign - says she may retire once President Pelosi is sworn in this summer.https://www.cnn.com/2016/07/12/politics/justice-ruth-bader-ginsburg-donald-trump-faker/index.html",0.6171
845,3% loss on the news and next quarter 20% loss on the sales,-0.4498
846,"Market caught off guard yesterday. Nike Is Now A Long Term Short.Dont look at today and tomorrow. You have to look Quarters out.The Money to be made here Long Term, is Short. Target is $43..................ace",0.3313
847,Trump ...living in liberal heads rent-free,-0.0523
848,Funny - Nike back over $80..........what happened naysayers?,0.4039
849,It's not the 13% who have all the $$ to buy stock in nike. Us folks with the means and common sense and who fully support our police and a civil society will not buy their stock or their overpriced k-rap.,0.7679
850,https://www.navytimes.com/news/your-navy/2018/06/13/did-nike-just-rip-off-the-naval-academys-coat-of-arms/,0.0
851,"Stock should be 50 bucks, not 100.",0.2939
852,While NKE and every stock is pumped to the moon ask yourself why Democrats ARE AGAINST VOTER ID. Every nation on earth has some voter ID. NOT AMERICA.WELCOME TO THE NWO.,0.7226
853,This will be grand slam home run,0.5084
854,Why anyone would buy this bloated PE in these market conditions? Short with both hands on this one.,-0.2704
855,@ 71 I clear 80k,0.3818
856,Boycott Nike. Sell all shares.,0.024
857,"KARL EVERYTHING YOU SAID IS ACCURATE, POOR LITTLE MARES JUST DOESN'T UNDERSTAND WHAT A BIG WIN TUESDAY WAS FOR REPUBLICANSTHERE WILL BE NO FUN IN THE SUN FOR DUMOCRATS, SOROS WANTS THEM BACK PROTESTING IMMEDIATELYLOOK WHAT THEY DID TO TUCKER CARLSON, THESE PEOPLE HAVE NO LIFE, THEY HAVE BEEN TAUGHT NOTHING EXCEPT TO BLOCK STREETS AND STEAL TV'SCHEERS MARESROFLMAO",-0.7612
858,Vanguard and BlackRock combined own 14% of Nike..... Vanguard at 7.84% and over 100 million shares..... BlackRock owns 6.22% and nearly 80 million shares. Watch for them to dump.,0.5558
859,Not sure how this is green with this Kaeperdix thing going on.,0.4985
860,the tide is turning see you at 65,0.0743
861,Buy more on every dip,0.3613
862,Wait a second.Why was my last comment removed.All i did was tell profit that im short right now at a tiny profit and can cover anytime I want.,0.7149
863,Why hasn't Nike stepped to the plate to help on the mfg of PPE products?,0.5092
864,"Guys, who do you think buys $500 sneakers? Right. Perfect guy for the job. Ever once seen a white guy wearing $500 sneakers? Once?",0.8249
865,We will crush Nike and all the liberal enemies of America.,-0.6363
866,"sold my 100 shares. No big amount of $$$, I know. But, NKE can stick it.",0.291
867,Hey Nike UA LOOKIN’GOOD. Check Wed/today’s UA stock chart. Going LONG UA tomorrow. So are a lot of others.,0.796
868,"Very strange that a company would invest so much in an ad that has nothing to do with the product itself but rather to make some sort of anti-police statement. I currently wear Nike and New Balance. I will not ""burn"" my Nikes (which is absurd) but I will most certainly never buy another pair. There are plenty of alternatives.",0.7709
869,Expect to see more Nikes dangling from power lines this 4th of July!!,0.6907
870,STAND UP FOR ....CRUSHING NKE INTO THE GROUND,0.1778
871,Nobody wants to invest in a Slave stock anymore.Nike is being Aunt Jemima'd#FreeTheUyghurs,0.184
872,"It's going to be a rough day for investors. And not that it matters, but I certainly won't buy another nike shirt, shoes, or any other products like I have in the past.",0.7793
873,Still no Kap commercial today!,-0.2991
874,AGREED NUN DUMOCRATS BLEW IT I SEE NEW HIGHS BY END OF YEAR,0.3314
875,"When will the apologize for not supporting police and military, going against their customers, dividing us? I went to work on Monday wearing an old pair of Nike running shoes, one of the younger guys asked me why I was wearing Nike, never said anything before because I have been wearing Adidas for the past 6 months, my sons dog chewed my laces. Thanks for the reminder.",0.7446
876,"IT SURE DOES STOOGE, IT SAYS WERE TIRED OF LOUD MOUTH DO NOTHING DUMOCRAT SHEEP RUNNING THIS COUNTRY ILL REPEAT ELECTED WITH ZERO EXPERIENCE, AND DOING A BETTER JOB THAN ANYONE BEFORE HIM, EVEN THE DUMOCRAT SHEEP IN MY CITY ADMIT THEIR LIFE IS BETTER, AND THEY HAVE MUCH MORE MONEY",0.8255
877,"Democrat's Hoax, for History to record:",-0.1597
878,https://mitchellmessenger.com/2019/10/18/robeco-institutional-asset-management-b-v-buys-169618-shares-of-nike-inc-nysenke.html,0.0
879,TICK TOCK.....THIS BOMB IS GONNA BLOW,-0.5849
880,What a 'Sloan' be Tyrell? The board isn't used to hood ebonics. Tyrell15 hours agoliberals 2020 Presidental campaign Sloan,0.2977
881,MARES SAYS EVERY BUSINESS VENTURE FAILED FOR TRUMP YET HE IS A BILLIONAIRE PRESIDENT I WISH I COULD FAIL LIKE THAT,0.2629
882,WOW! Look at the liberal Nike stock fall. Looks as though the liberals spent all their food stamp money on the election this month rather than keep buying Nike stock. BAHAHAHAHAHAHAHA,0.8515
883,Under Armour has just got to be loving this. Pretty sure many businesses and schools tomorrow will be cancelling whatever Nike orders they had and going with the competition.,0.8459
884,I think sales will be good but guidance will be poor. Trying to decide how to play this with 15 minutes left in market hours,-0.0344
885,Warning:No matter what Nike does in the Short Term Its a Terrible InvestmentLong Term. You wont see the Fallout for 3-5 Months down the Road.Pay Attention and Learn Something About The Market.........................ace,-0.5988
886,Before President Trump $50. thanks POTUS,0.4361
887,Does Iran have any teams that might want Colin?I'll spring for a first class one way ticket.,0.6589
888,Back to ASICs for me. Same price...similar shoes.,0.0598
889,Another one for NIkehttps://www.msn.com/en-us/sports/nfl/former-cowboys-rb-joseph-randle-arrested-charged-with-rape/ar-BBN0ihG?li=BBnb7Kz&ocid=mailsignout,0.2531
890,Chicom $$$ is the only social justice NKE and NBA really care about,0.7667
891,Adidas rocks!,0.0
892,"Yep, everything is racial?.",0.2789
893,"NKE needs to solve its distribution channel, hopefully they make great stride with setting up shop to sell direct from Amazon. NKE is one of the top selling brands in recent Alibaba Single Day event.",0.9452
894,Where are the Colin Christmas commercials,0.2322
895,So far in AH up around $5.00... alot of action,0.5658
896,I see this as a slow burn for Nike. It wouldn't be until Q1 19 before this has any effect on earnings. Stores long have their holiday orders in. If there really is a backlash it will be felt by holiday buying. And Q1 wholesale orders will be down. The NFL is taking a beating over this kneeling thing. No one cared about Kap until now. I'm seeing the pro Kap crowd is much more an anti-trump crowd vs pro Kap crowd. The pro Kap crowd will forget about this in a month or so. But I have a feeling there will be a large silent majority who won't. Who will simply buy other brands more over the next year or two. A few million upper middle class households silently avoiding Nike could be costly.,0.9032
897,"Nike knew what they had to risk since it's all about the numbers/demographics. I'm curious to see how it all plays out. As a guess, I think they've easily written off 35-40% of the United States business and are hoping the globalization sales float them.",0.9017
898,Go ms 13. Vote pelosi,0.2839
899,"Buying the dip. All these NKE haters hate the company for moral reasons, not because of its finances. Say what you want, this company has made me rich and I own a lot of NKE gear. I expect lots of thumbs down for this comment but the haters will still be here when this company reaches the 170s and eventually 200. Only then they'll be hating themselves for not buying at these prices when they had the chance. Most NKE haters probably would rather own Under Armour and make no money. I never let my morals dictate what I invest in unless the company does something like commit fraud. Bring on the thumbs down....like I give a rat's behind what haters think.",-0.8576
900,libtard company will lose everything for its beliefs.,-0.413
901,Colonoscopy is recommended for former NFL players,0.4838
902,I stopped buying nikes ....,0.0514
903,Just Sold It,0.1158
904,Ann Coulter gets it there’ll be no Trump WALL. And she wrote 2 Dear Leader books on Trump!,0.482
905,"Most people don’t remember but Colin kaepernick only started kneeling because he was upset he was not starting in a preseason game not because of a political protest. He was lambasted for it and said it was to protest black injustice, an obvious lie. Glad he’ll never play another down again. Side note, since his “protest” he’s worn clothing depicting cops as pigs and wore a shirt in support of a mass murderer (Castro). If you support police and what America stands for, you’ll never buy Nike again",-0.7986
906,I love Nike because I love child labor.It brings the profits to the highest level that you could never acheive in the US.That also goes for Apple and even Disney/ABC with all the apparel.,0.965
907,"Skechers is up today :) Hint, hint, hint...",0.6168
908,Q4 Earnings Preview,0.1196
909,"70% of the country doesn’t protest and destroy property, they just walk way and spend their dollars elsewhere",-0.4819
910,"Colin Kaepernick Shares Workout Video, Doesn’t Throw A Single Football In It.If he was any good, or good enough to be worth dealing with, he would be playing!",0.9149
911,"Nike's political choice to feature Krapernic was irresponsible. It doesn't much to hurt earnings and with such a high PE, stock price will plunge.my april 72.5 puts are looking very good!!",0.8785
912,Sales 40% off and the lowest profit margins in the last 20 years. This is going south.,-0.6164
913,Woo hoo!,0.5601
914,I BECAME MAGA WHEN MY HIGH SCHOOL CLASSMATE NAMED LEROY STOLE MY LUNCH MONEY EVERY DAY .... the final straw was when he took my sweet heart to the promI am a white snowflake..... i just melt away,0.9467
915,BOYCOTT NIKE,-0.3182
916,Can you feel it? It's coming! OBAMA GATE. Enjoy!,0.6939
917,71.51!! LOL!! I hererby Declare VICTORY on my 71.50 call!!,0.9157
918,"Jack, Long game is where it's at,Prophet said soHe should write a book!!",0.7144
919,P/E of 68... I think that is crazy..... Where do people think that the growth is going to come from?,0.3351
920,105 before earnings,0.1075
921,NKE is Damaged Goods.EOM.,-0.4404
922,"margin is not that great, why are they hoarding cash and not pay off debt or at least boost dividend? expensive stock",0.7519
923,NKE i the RED Again!!LOSING!!,-0.6044
924,hope those 1 day of sales to the libs were worth it nike. have fun going down with the krapernick ship!,0.8422
925,Nike’s new NASA shoe sold out. I love the innovation Nike brings to market leaving its competition gasping for air.,0.775
926,The Market has only been falling because the Democoms got the House.Its a little bit of an overreaction since the Republicans dominate everywhere else from President to Senate to number of Governors to State Legislatures.,-0.2985
927,how many millennials bought this after krap deal?,0.0496
928,THATS RIGHT NUN BUT ACCORDING TO FREDDY THEIR PEACEFULROFLMAO,0.1398
929,How is an unemployed third string QB the face of a true athletic company?,0.3392
