,Recent headlines and conversations for AAL,Polarity
0,The 'new' American will trade on Nasdaq under 'AAL'Ben Mutzbaugh,-0.113
1,American Airlines Earnings: What Happened With AAL,0.1621
2,American Airlines Group stock is no sure thingAdam Levine-Weinberg,0.4044
3,New American Airlines to trade under symbol 'AAL' on Nasdaq,0.0881
4,"Newsroom - American Airlines Reports First-Quarter 2021 Financial Results - American Airlines Group, Inc.",0.2648
