Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
GOOGL,Alphabet Inc,NSD,Common Stock,USD ,1373996449792,Morgan Stanley,Maintains,Overweight,2032.46,2350,03/25/2021
GOOGL,Alphabet Inc,NSD,Common Stock,USD ,1360976281600,Morgan Stanley,Reiterated by,Buy,2033.9301,2200,03/04/2021
GOOGL,Alphabet Inc,NSD,Common Stock,USD ,1415310082048,Loop Capital,Upgraded by,Hold - Buy,2110.7,2525,02/16/2021
GOOGL,Alphabet Inc,NSD,Common Stock,USD ,1283254255616,Piper Sandler,Reiterated by,Overweight,2058.8799,2250,02/03/2021
GOOGL,Alphabet Inc,NSD,Common Stock,USD ,1283254255616,UBS,Target Raised by,Buy,2058.8799,2300,02/03/2021
GOOGL,Alphabet Inc,NSD,Common Stock,USD ,1283254255616,Monness Crespi,Target Raised by,Buy,2058.8799,2500,02/03/2021
GOOGL,Alphabet Inc,NSD,Common Stock,USD ,1283254255616,Mizuho Securities,Target Raised by,Buy,2058.8799,2350,02/03/2021
GOOGL,Alphabet Inc,NSD,Common Stock,USD ,1283254255616,Needham & Company LLC,Maintains,Buy,2058.8799,2500,02/03/2021
GOOGL,Alphabet Inc,NSD,Common Stock,USD ,1283254255616,KeyBanc,Maintains,Overweight,2058.8799,2353,02/03/2021
GOOGL,Alphabet Inc,NSD,Common Stock,USD ,1283254255616,Barclays,Target Raised by,Overweight,2058.8799,2500,02/03/2021
