Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FLNT,Fluent Inc. Common Stock,$2.53,0.01,0.397%,198317759.00,United States,,151137,Consumer Services,EDP Services
FMAO,Farmers & Merchants Bancorp Inc. Common Stock,$23.15,0.15,0.652%,259026554.00,United States,,7763,Finance,Savings Institutions
FNWB,First Northwest Bancorp Common Stock,$18.01,0.27,1.522%,182796781.00,United States,2015,24357,Finance,Banks
FRBK,Republic First Bancorp Inc. Common Stock,$3.14,-0.01,-0.317%,184902520.00,United States,,85348,Finance,Major Banks
FTEK,Fuel Tech Inc. Common Stock,$1.78,-0.05,-2.732%,53869548.00,United States,,219700,Capital Goods,Pollution Control Equipment
FULT,Fulton Financial Corporation Common Stock,$15.38,0.20,1.318%,2508093500.00,United States,,960125,Finance,Major Banks
GABC,German American Bancorp Inc. Common Stock,$35.79,0.14,0.393%,950070746.00,United States,,31956,Finance,Major Banks
GAIN,Gladstone Investment Corporation Business Development Company,$14.34,-0.06,-0.417%,476160030.00,United States,2005,144505,Finance,Finance/Investors Services
GBDC,Golub Capital BDC Inc. Common Stock,$15.25,0.00,0.00%,2579565819.00,United States,2010,333226,Finance,Investment Managers
GECC,Great Elm Capital Corp. Common Stock,$3.59,-0.01,-0.278%,84394553.00,United States,,192080,Finance,Finance/Investors Services
GLAD,Gladstone Capital Corporation Common Stock,$11.37,0.12,1.067%,390040698.00,United States,2001,104310,Finance,Finance/Investors Services
GRPN,Groupon Inc. Common Stock,$22.21,0.27,1.231%,655740566.00,United States,2011,1097973,Technology,Advertising
HA,Hawaiian Holdings Inc. Common Stock,$20.35,0.95,4.897%,1042088661.00,United States,,1456086,Transportation,Air Freight/Delivery Services
HMHC,Houghton Mifflin Harcourt Company Common Stock,$13.24,0.06,0.455%,1690313331.00,United States,2013,598778,Miscellaneous,Service to the Health Industry
HOPE,Hope Bancorp Inc. Common Stock,$13.48,0.16,1.201%,1656667332.00,United States,,1012547,Finance,Major Banks
HRZN,Horizon Technology Finance Corporation Common Stock,$16.74,0.09,0.541%,340593614.00,United States,2010,76996,Finance,Finance/Investors Services
HTBI,HomeTrust Bancshares Inc. Common Stock,$27.62,0.02,0.072%,459499660.00,United States,2012,45564,Finance,Savings Institutions
ICMB,Investcorp Credit Management BDC Inc. Common Stock,$5.525,0.025,0.455%,79426030.00,United States,2014,44094,Finance,Finance/Investors Services
IDRA,Idera Pharmaceuticals Inc. Common Stock,$1.06,-0.01,-0.935%,55927771.00,United States,,334642,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INFN,Infinera Corporation Common Stock,$8.54,0.19,2.275%,1781379899.00,United States,2007,1914020,Public Utilities,Telecommunications Equipment
