Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DLTR,Dollar Tree Inc. Common Stock,$89.26,-0.95,-1.053%,20075633338.00,United States,1995,4483319,Consumer Services,Department/Specialty Retail Stores
DORM,Dorman Products Inc. Common Stock,$91.87,-0.42,-0.455%,2924153657.00,United States,,75613,Capital Goods,Auto Parts:O.E.M.
DSP,Viant Technology Inc. Class A Common Stock,$12.76,-0.96,-6.997%,768855331.00,United States,2021,647261,Technology,EDP Services
DUOL,Duolingo Inc. Class A Common Stock,$158.71,-14.66,-8.456%,5938669027.00,United States,2021,279673,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,$72.67,0.11,0.152%,47239555349.00,United States,1998,5768568,Consumer Services,Catalog/Specialty Distribution
ECOL,US Ecology Inc Common Stock,$35.84,0.35,0.986%,1129401692.00,United States,,101690,Public Utilities,Environmental Services
EDIT,Editas Medicine Inc. Common Stock,$62.96,-3.14,-4.75%,4297728615.00,United States,2016,1599407,Health Care,Biotechnology: Pharmaceutical Preparations
EGAN,eGain Corporation Common Stock,$11.20,-0.16,-1.408%,349911565.00,United States,1999,101182,Technology,Computer Software: Prepackaged Software
EGRX,Eagle Pharmaceuticals Inc. Common Stock,$52.35,0.65,1.257%,685633866.00,United States,2014,105457,Health Care,Biotechnology: Pharmaceutical Preparations
EHTH,eHealth Inc. Common Stock,$38.84,1.14,3.024%,1017053209.00,United States,2006,423522,Finance,Specialty Insurers
ENTA,Enanta Pharmaceuticals Inc. Common Stock,$57.28,1.21,2.158%,1157906608.00,United States,2013,117879,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ENTG,Entegris Inc. Common Stock,$124.07,3.43,2.843%,16823575746.00,United States,2000,592570,Technology,Semiconductors
EPAY,Bottomline Technologies Inc. Common Stock,$42.43,0.71,1.702%,1936506515.00,United States,1999,355637,Technology,EDP Services
ERIE,Erie Indemnity Company Class A Common Stock,$178.90,2.40,1.36%,9354657385.00,United States,,102132,Finance,Specialty Insurers
ERII,Energy Recovery Inc. Common Stock,$21.47,-0.10,-0.464%,1227059881.00,United States,2008,224858,Technology,Industrial Machinery/Components
ESPR,Esperion Therapeutics Inc. Common Stock,$11.38,-0.43,-3.641%,321797870.00,United States,2013,1336988,Health Care,Biotechnology: Pharmaceutical Preparations
EVOP,EVO Payments Inc. Class A Common Stock,$24.84,-0.32,-1.272%,1030220941.00,United States,2018,96580,Technology,EDP Services
EXC,Exelon Corporation Common Stock,$50.56,0.65,1.302%,49439219290.00,United States,,6463490,Public Utilities,Power Generation
EXLS,ExlService Holdings Inc. Common Stock,$122.48,0.60,0.492%,4101243657.00,United States,2006,104342,Technology,Retail: Computer Software & Peripheral Equipment
EXPE,Expedia Group Inc. Common Stock,$148.79,3.40,2.339%,22440478340.00,United States,,2382009,Transportation,Other Consumer Services
EXPO,Exponent Inc. Common Stock,$115.10,0.38,0.331%,5991961895.00,United States,,145061,Consumer Services,Professional Services
EXTR,Extreme Networks Inc. Common Stock,$10.24,0.16,1.587%,1326209249.00,United States,1999,592061,Capital Goods,Telecommunications Equipment
EYE,National Vision Holdings Inc. Common Stock,$59.24,0.62,1.058%,4850282287.00,United States,2017,531255,Health Care,Ophthalmic Goods
FAST,Fastenal Company Common Stock,$53.38,-0.20,-0.373%,30679588798.00,United States,1987,2265347,,
FCCO,First Community Corporation Common Stock,$19.55,0.325,1.691%,147398926.00,United States,,24575,Finance,Major Banks
FCFS,FirstCash Inc. Common Stock,$88.05,0.43,0.491%,3561795606.00,United States,1991,115982,Miscellaneous,Diversified Commercial Services
FELE,Franklin Electric Co. Inc. Common Stock,$80.66,-2.45,-2.948%,3745241256.00,United States,,226903,Consumer Durables,Metal Fabrications
FEYE,FireEye Inc. Common Stock,$18.41,0.24,1.321%,4403521738.00,United States,2013,3192043,Technology,Computer Software: Prepackaged Software
FFIC,Flushing Financial Corporation Common Stock,$22.23,0.13,0.588%,687718484.00,United States,,144753,Finance,Major Banks
FGBI,First Guaranty Bancshares Inc. Common Stock,$18.90,-0.15,-0.787%,184109682.00,United States,,3354,Finance,Major Banks
FGEN,FibroGen Inc Common Stock,$11.73,0.39,3.439%,1086455368.00,United States,2014,1188302,Health Care,Biotechnology: Pharmaceutical Preparations
FIBK,First Interstate BancSystem Inc. Class A Common Stock,$41.99,0.72,1.745%,2613467300.00,United States,2010,183683,Finance,Major Banks
FIVN,Five9 Inc. Common Stock,$170.39,-3.12,-1.798%,11535348646.00,United States,2014,1978360,Technology,EDP Services
FLGT,Fulgent Genetics Inc. Common Stock,$87.47,-6.22,-6.639%,2582224525.00,United States,2016,793335,Health Care,Medical Specialities
FLIC,First of Long Island Corporation (The) Common Stock,$19.95,0.20,1.013%,472929713.00,United States,,33525,Finance,Major Banks
FMBI,First Midwest Bancorp Inc. Common Stock,$18.03,0.08,0.446%,2060809113.00,United States,,465792,Finance,Major Banks
FNHC,FedNat Holding Company Common Stock,$2.30,0.11,5.023%,40118544.00,United States,,49403,Finance,Property-Casualty Insurers
FOLD,Amicus Therapeutics Inc. Common Stock,$11.27,0.34,3.111%,3004077938.00,United States,2007,1831816,Health Care,Biotechnology: Pharmaceutical Preparations
FORR,Forrester Research Inc. Common Stock,$46.62,-0.88,-1.853%,893612160.00,United States,1996,56498,Consumer Services,EDP Services
FOXF,Fox Factory Holding Corp. Common Stock,$149.96,-1.45,-0.958%,6313823315.00,United States,2013,86095,Consumer Non-Durables,Motor Vehicles
FREQ,Frequency Therapeutics Inc. Common Stock,$7.04,-0.24,-3.297%,242295624.00,United States,2019,186890,Health Care,Biotechnology: Pharmaceutical Preparations
FROG,JFrog Ltd. Ordinary Shares,$36.70,0.13,0.355%,3519070993.00,United States,2020,523795,Technology,Computer Software: Prepackaged Software
FRTA,Forterra Inc. Common Stock,$23.67,-0.07,-0.295%,1584015525.00,United States,2016,92724,,
FSBW,FS Bancorp Inc. Common Stock,$32.78,-0.27,-0.817%,269790709.00,United States,2012,12554,Finance,Banks
FSLR,First Solar Inc. Common Stock,$106.17,6.76,6.80%,11287920293.00,United States,2006,3644216,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$296.92,-13.57,-4.371%,48493033784.00,United States,2009,1777069,Miscellaneous,Diversified Manufacture
FUNC,First United Corporation Common Stock,$18.10,0.15,0.836%,119724332.00,United States,,6114,Finance,Major Banks
FUV,Arcimoto Inc. Common Stock,$12.02,0.14,1.178%,449455831.00,United States,2017,671688,Consumer Non-Durables,Motor Vehicles
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$45.41,-0.02,-0.044%,10529646460.00,United States,,132590,Consumer Services,Broadcasting
FWRD,Forward Air Corporation Common Stock,$84.20,0.03,0.036%,2281852754.00,United States,,91344,Transportation,Oil Refining/Marketing
GBCI,Glacier Bancorp Inc. Common Stock,$50.83,0.29,0.574%,4854649529.00,United States,,332046,Finance,Major Banks
GFED,Guaranty Federal Bancshares Inc. Common Stock,$23.87,-0.2261,-0.938%,104670690.00,United States,,1050,Finance,Major Banks
GIII,G-III Apparel Group LTD. Common Stock,$29.11,-0.17,-0.581%,1413759375.00,United States,1989,316428,Consumer Services,Department/Specialty Retail Stores
GNOG,Golden Nugget Online Gaming Inc. Class A Common Stock,$21.65,-0.75,-3.348%,1008249073.00,United States,2019,934982,Consumer Services,Services-Misc. Amusement & Recreation
GNTY,Guaranty Bancshares Inc. Common Stock,$33.44,0.23,0.693%,403217413.00,United States,2017,12299,Finance,Major Banks
GO,Grocery Outlet Holding Corp. Common Stock,$25.05,0.04,0.16%,2402807874.00,United States,2019,982572,Consumer Non-Durables,Specialty Foods
GOEV,Canoo Inc. Class A Common Stock,$7.00,0.14,2.041%,1662438323.00,United States,2019,1702386,,
GOGO,Gogo Inc. Common Stock,$12.56,-0.14,-1.102%,1377886636.00,United States,2013,639685,Consumer Services,Telecommunications Equipment
GPRO,GoPro Inc. Class A Common Stock,$9.51,0.19,2.039%,1465249379.00,United States,2014,2712191,Miscellaneous,Industrial Machinery/Components
GRAY,Graybug Vision Inc. Common Stock,$3.84,-0.08,-2.041%,81733156.00,United States,2020,78556,Health Care,Biotechnology: Pharmaceutical Preparations
GSBC,Great Southern Bancorp Inc. Common Stock,$52.80,0.45,0.86%,717153677.00,United States,1989,40150,Finance,Major Banks
GSHD,Goosehead Insurance Inc. Class A Common Stock,$147.84,-5.87,-3.819%,5439691340.00,United States,2018,99469,Finance,Specialty Insurers
GSKY,GreenSky Inc. Class A Common Stock,$8.85,0.51,6.115%,1629981504.00,United States,2018,4122280,Technology,EDP Services
GT,The Goodyear Tire & Rubber Company Common Stock,$16.32,0.58,3.685%,4589068503.00,United States,,3177931,Consumer Durables,Automotive Aftermarket
HAFC,Hanmi Financial Corporation Common Stock,$18.19,0.15,0.831%,558370172.00,United States,,111459,Finance,Major Banks
HALL,Hallmark Financial Services Inc. Common Stock,$3.79,0.04,1.067%,68868211.00,United States,,60435,Finance,Property-Casualty Insurers
HAYN,Haynes International Inc. Common Stock,$38.45,1.47,3.975%,487881669.00,United States,2007,32939,,
HBCP,Home Bancorp Inc. Common Stock,$36.90,0.15,0.408%,319034596.00,United States,,19400,Finance,Banks
HBMD,Howard Bancorp Inc. Common Stock,$19.21,0.25,1.319%,361351357.00,United States,,102668,Finance,Major Banks
HBT,HBT Financial Inc. Common Stock,$15.28,0.02,0.131%,417719353.00,United States,2019,6191,Finance,Commercial Banks
HCSG,Healthcare Services Group Inc. Common Stock,$26.26,-0.13,-0.493%,1960519080.00,United States,1983,926430,Health Care,Assisted Living Services
HDSN,Hudson Technologies Inc. Common Stock,$3.24,0.01,0.31%,142134857.00,United States,,261215,Basic Industries,Specialty Chemicals
HFWA,Heritage Financial Corporation Common Stock,$23.98,0.05,0.209%,862576427.00,United States,,149537,Finance,Banks
HLBZ,Helbiz Inc. Class A Common stock,$9.18,-1.82,-16.545%,270407934.00,United States,2019,452022,Miscellaneous,Business Services
HLIO,Helios Technologies Inc. Common Stock,$85.40,0.65,0.767%,2766119152.00,United States,,126203,Capital Goods,Fluid Controls
HLIT,Harmonic Inc. Common Stock,$9.20,0.32,3.604%,936612394.00,United States,1995,1067643,Technology,Radio And Television Broadcasting And Communications Equipment
HLNE,Hamilton Lane Incorporated Class A Common Stock,$87.93,0.48,0.549%,4677925329.00,United States,2017,177296,Finance,Investment Managers
HMPT,Home Point Capital Inc Common Stock,$4.08,0.06,1.493%,569125871.00,United States,2021,34167,Finance,Finance: Consumer Services
HMST,HomeStreet Inc. Common Stock,$37.82,0.09,0.239%,786454268.00,United States,2012,87224,Finance,Banks
HONE,HarborOne Bancorp Inc. Common Stock,$13.49,0.19,1.429%,743974431.00,United States,2016,209598,Finance,Major Banks
HOOD,Robinhood Markets Inc. Class A Common Stock,$40.60,-0.57,-1.385%,34730999929.00,United States,2021,4302977,Technology,Computer Software: Prepackaged Software
HSIC,Henry Schein Inc. Common Stock,$77.71,0.95,1.238%,10855559349.00,United States,1995,724604,Health Care,Medical Specialities
HSII,Heidrick & Struggles International Inc. Common Stock,$43.01,1.40,3.365%,839956182.00,United States,1999,98306,Technology,Diversified Commercial Services
HST,Host Hotels & Resorts Inc. Common Stock,$16.69,0.70,4.378%,11916217431.00,United States,,7330390,Consumer Services,Real Estate Investment Trusts
HSTM,HealthStream Inc. Common Stock,$29.14,-0.79,-2.639%,919488222.00,United States,2000,79568,Miscellaneous,Business Services
HTLD,Heartland Express Inc. Common Stock,$16.24,0.01,0.062%,1290922699.00,United States,1986,210330,Transportation,Trucking Freight/Courier Services
HTLF,Heartland Financial USA Inc. Common Stock,$46.80,0.60,1.299%,1977102878.00,United States,,114827,Finance,Major Banks
HWKN,Hawkins Inc. Common Stock,$35.60,0.48,1.367%,755161796.00,United States,,34658,Basic Industries,Industrial Specialties
IART,Integra LifeSciences Holdings Corporation Common Stock,$69.32,-0.91,-1.296%,5863053851.00,United States,,326264,Health Care,Medical/Dental Instruments
IBCP,Independent Bank Corporation Common Stock,$20.30,0.19,0.945%,436834888.00,United States,,78448,Finance,Major Banks
ICBK,County Bancorp Inc. Common Stock,$35.12,-0.04,-0.114%,211659390.00,United States,2015,6335,Finance,Commercial Banks
ICPT,Intercept Pharmaceuticals Inc. Common Stock,$14.78,0.13,0.887%,423885656.00,United States,2012,680465,Health Care,Biotechnology: Pharmaceutical Preparations
ILMN,Illumina Inc. Common Stock,$452.83,-5.38,-1.174%,141735790000.00,United States,2000,827045,Health Care,Medical Specialities
ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,$26.22,0.04,0.153%,1712542388.00,United States,2018,251091,Consumer Services,Real Estate Investment Trusts
IMAC,IMAC Holdings Inc. Common Stock,$1.53,-0.02,-1.29%,38743205.00,United States,2019,92904,Health Care,Medical Specialities
IMGN,ImmunoGen Inc. Common Stock,$5.77,0.04,0.698%,1167876446.00,United States,1989,1775177,Health Care,Biotechnology: Pharmaceutical Preparations
IMMR,Immersion Corporation Common Stock,$7.25,0.01,0.138%,238549795.00,United States,1999,372822,Technology,Computer peripheral equipment
IMRA,IMARA Inc. Common Stock,$4.25,-0.15,-3.409%,111550898.00,United States,2020,58456,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INCY,Incyte Corp. Common Stock,$72.45,1.33,1.87%,15999515239.00,United States,,1798782,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INDP,Indaptus Therapeutics Inc. Common Stock,$7.31,-0.32,-4.194%,39517590.00,United States,,233518,Health Care,Biotechnology: Pharmaceutical Preparations
INO,Inovio Pharmaceuticals Inc. Common Stock,$7.79,-0.16,-2.013%,1638680220.00,United States,,4218070,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INSG,Inseego Corp. Common Stock,$8.22,0.07,0.859%,848145420.00,United States,,996941,Capital Goods,Telecommunications Equipment
IONS,Ionis Pharmaceuticals Inc. Common Stock,$36.27,0.18,0.499%,5119427006.00,United States,,1178979,Health Care,Biotechnology: Pharmaceutical Preparations
IOSP,Innospec Inc. Common Stock,$89.30,0.00,0.00%,2200522027.00,United States,,61335,Basic Industries,Industrial Specialties
IPAR,Inter Parfums Inc. Common Stock,$70.48,-0.28,-0.396%,2231041440.00,United States,,76461,Consumer Non-Durables,Package Goods/Cosmetics
IRDM,Iridium Communications Inc Common Stock,$46.98,-0.29,-0.613%,6198286662.00,United States,,648268,Consumer Services,Telecommunications Equipment
IRTC,iRhythm Technologies Inc. Common Stock,$64.96,16.84,34.996%,1910042266.00,United States,2016,4802558,Health Care,Medical/Dental Instruments
IRWD,Ironwood Pharmaceuticals Inc. Class A Common Stock,$12.20,0.00,0.00%,1987319134.00,United States,2010,1812850,Health Care,Biotechnology: Pharmaceutical Preparations
ISBC,Investors Bancorp Inc. Common Stock,$14.22,0.27,1.935%,3521095965.00,United States,,2439958,Finance,Savings Institutions
ISRG,Intuitive Surgical Inc. Common Stock,$1027.82,4.35,0.425%,122301066498.00,United States,2000,635468,Health Care,Medical/Dental Instruments
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$171.70,-2.08,-1.197%,108372896879.00,United States,,426491,Transportation,Trucking Freight/Courier Services
JJSF,J & J Snack Foods Corp. Common Stock,$159.14,-1.49,-0.928%,3033829523.00,United States,1986,43735,Consumer Non-Durables,Specialty Foods
JKHY,Jack Henry & Associates Inc. Common Stock,$168.44,-0.60,-0.355%,12466917992.00,United States,1985,368452,Technology,Retail: Computer Software & Peripheral Equipment
JNCE,Jounce Therapeutics Inc. Common Stock,$6.47,0.12,1.89%,331471228.00,United States,2017,168890,Health Care,Biotechnology: Pharmaceutical Preparations
KALU,Kaiser Aluminum Corporation Common Stock,$119.59,-0.35,-0.292%,1896675874.00,United States,,87463,Basic Industries,Aluminum
KFRC,Kforce Inc. Common Stock,$59.93,0.04,0.067%,1296235499.00,United States,1995,79593,Technology,Diversified Commercial Services
KHC,The Kraft Heinz Company Common Stock,$36.64,0.31,0.853%,44824904663.00,United States,,4776088,Consumer Non-Durables,Farming/Seeds/Milling
KLAC,KLA Corporation Common Stock,$355.60,5.03,1.435%,325879835310.00,United States,1980,974243,Capital Goods,Electronic Components
KLDO,Kaleido Biosciences Inc. Common Stock,$5.54,0.01,0.181%,235879511.00,United States,2019,132475,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KMPH,KemPharm Inc. Common Stock,$8.98,-0.30,-3.233%,315680666.00,United States,,440853,Health Care,Biotechnology: Pharmaceutical Preparations
KNSL,Kinsale Capital Group Inc. Common Stock,$165.62,0.08,0.048%,3777062147.00,United States,2016,81911,Finance,Property-Casualty Insurers
KOD,Kodiak Sciences Inc Common Stock,$94.35,-2.04,-2.116%,4854452893.00,United States,2018,187611,Health Care,Biotechnology: Pharmaceutical Preparations
KOPN,Kopin Corporation Common Stock,$5.80,-0.06,-1.024%,530643195.00,United States,1992,1017580,Capital Goods,Industrial Machinery/Components
KPTI,Karyopharm Therapeutics Inc. Common Stock,$5.99,0.20,3.454%,452228581.00,United States,2013,2384953,Miscellaneous,Diversified Commercial Services
KTOS,Kratos Defense & Security Solutions Inc. Common Stock,$23.64,0.94,4.141%,2930356151.00,United States,,2857571,Consumer Non-Durables,Ordnance And Accessories
KVHI,KVH Industries Inc. Common Stock,$10.06,0.10,1.004%,189228701.00,United States,1996,26706,Technology,Radio And Television Broadcasting And Communications Equipment
LAMR,Lamar Advertising Company Class A Common Stock,$111.25,1.69,1.543%,11256566253.00,United States,1996,289724,Consumer Services,Real Estate Investment Trusts
LANC,Lancaster Colony Corporation Common Stock,$170.46,-2.55,-1.474%,4692763800.00,United States,,65629,Consumer Non-Durables,Packaged Foods
LAND,Gladstone Land Corporation Common Stock,$22.69,0.35,1.567%,710817549.00,United States,2013,195764,Consumer Services,Real Estate Investment Trusts
LAWS,Lawson Products Inc. Common Stock,$50.04,-0.45,-0.891%,454280484.00,United States,,7238,Capital Goods,Industrial Machinery/Components
LAZR,Luminar Technologies Inc.  Class A Common Stock,$16.42,-0.08,-0.485%,5901791012.00,United States,2019,1587469,Technology,EDP Services
LE,Lands' End Inc. Common Stock,$24.62,-0.72,-2.841%,811992885.00,United States,,272753,Consumer Services,Clothing/Shoe/Accessory Stores
LECO,Lincoln Electric Holdings Inc. Common Shares,$134.12,0.79,0.593%,7964930926.00,United States,,159114,Capital Goods,Industrial Machinery/Components
LEVL,Level One Bancorp Inc. Common Stock,$28.11,0.11,0.393%,214862833.00,United States,2018,11887,,
LLNW,Limelight Networks Inc. Common Stock,$2.52,-0.03,-1.176%,319295370.00,United States,2007,1225837,,
LMAT,LeMaitre Vascular Inc. Common Stock,$56.98,-2.07,-3.506%,1239701837.00,United States,2006,107636,Health Care,Medical/Dental Instruments
LMST,Limestone Bancorp Inc. Common Stock,$17.50,0.00,0.00%,133047005.00,United States,,7790,Finance,Major Banks
LNT,Alliant Energy Corporation Common Stock,$59.43,-0.34,-0.569%,14872824382.00,United States,,824989,Public Utilities,Power Generation
LOB,Live Oak Bancshares Inc. Common Stock,$55.84,-0.83,-1.465%,2418321344.00,United States,2015,241421,Finance,Commercial Banks
LOCO,El Pollo Loco Holdings Inc. Common Stock,$17.39,-0.18,-1.024%,637130664.00,United States,2014,67799,Consumer Services,Restaurants
LOGI,Logitech International S.A. Ordinary Shares,$99.12,-2.07,-2.046%,16721542117.00,United States,1997,633318,Technology,Computer peripheral equipment
LOTZ,CarLotz Inc. Class A Common Stock,$3.99,-0.24,-5.674%,453543539.00,United States,2019,1870172,Consumer Services,Other Specialty Stores
LQDT,Liquidity Services Inc. Common Stock,$24.43,0.19,0.784%,827035362.00,United States,2006,113623,Consumer Services,Catalog/Specialty Distribution
LSEA,Landsea Homes Corporation Common Stock,$8.75,-0.05,-0.568%,404959546.00,United States,2018,48392,,
LTRN,Lantern Pharma Inc. Common Stock,$13.05,-0.44,-3.262%,145951709.00,United States,2020,30405,Health Care,Biotechnology: Pharmaceutical Preparations
LUNA,Luna Innovations Incorporated Common Stock,$10.44,-0.03,-0.287%,331981967.00,United States,2006,112915,Health Care,Biotechnology: Commercial Physical & Biological Resarch
LXRX,Lexicon Pharmaceuticals Inc. Common Stock,$4.61,-0.05,-1.073%,666027224.00,United States,,586924,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LZ,LegalZoom.com Inc. Common Stock,$34.55,-0.47,-1.342%,6803061669.00,United States,2021,499438,Technology,EDP Services
MANT,ManTech International Corporation Common Stock $0.01 Par Value,$80.26,3.33,4.329%,3265509967.00,United States,2002,184745,Technology,EDP Services
MAR,Marriott International Class A Common Stock,$139.98,4.34,3.20%,45585377553.00,United States,,1923400,Consumer Services,Hotels/Resorts
MBII,Marrone Bio Innovations Inc. Common Stock,$0.8986,-0.0014,-0.156%,134227700.00,United States,2013,462657,Basic Industries,Major Chemicals
MBWM,Mercantile Bank Corporation Common Stock,$30.33,0.43,1.438%,482029200.00,United States,1998,56632,Finance,Major Banks
MCFE,McAfee Corp. Class A Common Stock,$21.81,0.91,4.354%,9473062443.00,United States,2020,5560233,Technology,Computer Software: Prepackaged Software
MCFT,MasterCraft Boat Holdings Inc. Common Stock,$25.45,-0.01,-0.039%,484126901.00,United States,2015,126459,Consumer Non-Durables,Recreational Products/Toys
MDRX,Allscripts Healthcare Solutions Inc. Common Stock,$14.34,0.03,0.21%,1792655847.00,United States,,1370907,Technology,EDP Services
MDWT,Midwest Holding Inc. Common Stock,$37.22,-0.18,-0.481%,139112132.00,United States,,9258,Finance,Life Insurance
MEDP,Medpace Holdings Inc. Common Stock,$185.63,-6.08,-3.171%,6649138887.00,United States,2016,195227,Health Care,Biotechnology: Commercial Physical & Biological Resarch
METC,Ramaco Resources Inc. Common Stock,$11.51,-1.51,-11.598%,507698803.00,United States,2017,603320,Energy,Coal Mining
MKTX,MarketAxess Holdings Inc. Common Stock,$432.08,-6.41,-1.462%,16419200734.00,United States,2004,172339,Finance,Investment Bankers/Brokers/Service
MLAB,Mesa Laboratories Inc. Common Stock,$280.00,11.99,4.474%,1456955360.00,United States,,56328,Capital Goods,Industrial Machinery/Components
MMMB,MamaMancini's Holdings Inc. Common Stock,$2.83,0.10,3.663%,101101727.00,United States,,160823,Consumer Non-Durables,Farming/Seeds/Milling
MOFG,MidWestOne Financial Gp Common Stock,$29.67,0.40,1.367%,471013950.00,United States,,37939,Finance,Major Banks
MRAC,Marquee Raine Acquisition Corp. Class A Ordinary Shares,$9.95,0.01,0.101%,464851563.00,United States,2021,366867,Miscellaneous,Business Services
MRCC,Monroe Capital Corporation Common Stock,$10.98,0.09,0.826%,236548069.00,United States,2012,48401,Finance,Investment Managers
MRCY,Mercury Systems Inc Common Stock,$47.00,0.18,0.384%,2674785181.00,United States,1998,378939,,
MRNA,Moderna Inc. Common Stock,$419.72,-29.66,-6.60%,169418430073.00,United States,2018,15645948,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRTN,Marten Transport Ltd. Common Stock,$15.88,0.17,1.082%,1316149168.00,United States,1986,280944,Transportation,Trucking Freight/Courier Services
MRTX,Mirati Therapeutics Inc. Common Stock,$166.92,1.31,0.791%,8616943376.00,United States,,345114,Health Care,Biotechnology: Pharmaceutical Preparations
MSBI,Midland States Bancorp Inc. Common Stock,$24.41,-0.18,-0.732%,546661999.00,United States,2016,52200,Finance,Major Banks
MSEX,Middlesex Water Company Common Stock,$109.54,-2.07,-1.855%,1915916052.00,United States,,123012,Public Utilities,Water Supply
MSTR,MicroStrategy Incorporated Common Stock Class A,$642.70,27.13,4.407%,6264697684.00,United States,1998,932248,Technology,Computer Software: Prepackaged Software
MYRG,MYR Group Inc. Common Stock,$105.45,-1.49,-1.393%,1778674712.00,United States,,81166,Basic Industries,Water Supply
NBTB,NBT Bancorp Inc. Common Stock,$34.43,0.56,1.653%,1492059203.00,United States,,168191,Finance,Major Banks
NCMI,National CineMedia Inc. Common Stock,$2.68,0.22,8.943%,216638242.00,United States,2007,1256781,Technology,Advertising
NDSN,Nordson Corporation Common Stock,$240.09,-1.00,-0.415%,13952723030.00,United States,,148739,Capital Goods,Industrial Machinery/Components
NEOG,Neogen Corporation Common Stock,$42.22,-0.24,-0.565%,4537869310.00,United States,1989,278812,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NERV,Minerva Neurosciences Inc Common Stock,$1.71,0.04,2.395%,73053878.00,United States,2014,210943,Health Care,Biotechnology: Pharmaceutical Preparations
NEXT,NextDecade Corporation Common Stock,$2.86,-0.48,-14.371%,352691565.00,United States,2015,1234002,Energy,Oil & Gas Production
NFE,New Fortress Energy Inc. Class A Common Stock,$29.03,1.46,5.296%,6000459313.00,United States,2019,450277,Public Utilities,Oil/Gas Transmission
NKLA,Nikola Corporation Common Stock,$10.03,0.37,3.83%,3994485865.00,United States,2018,10735618,Capital Goods,Construction/Ag Equipment/Trucks
NKTR,Nektar Therapeutics  Common Stock,$16.37,0.42,2.633%,3008829589.00,United States,,836701,Health Care,Biotechnology: Pharmaceutical Preparations
NNBR,NN Inc. Common Stock,$5.31,0.21,4.118%,228508140.00,United States,1994,133752,,
NOTV,Inotiv Inc. Common Stock,$31.74,0.24,0.762%,505132419.00,United States,,48135,Health Care,Biotechnology: Pharmaceutical Preparations
NTGR,NETGEAR Inc. Common Stock,$33.05,0.32,0.978%,1009465650.00,United States,2003,141893,Public Utilities,Telecommunications Equipment
NTRS,Northern Trust Corporation Common Stock,$113.73,1.18,1.048%,23700738216.00,United States,,1006223,Finance,Trusts Except Educational Religious and Charitable
NUAN,Nuance Communications Inc. Common Stock,$55.21,0.00,0.00%,17364746756.00,United States,,1849135,Technology,Computer Software: Prepackaged Software
NUVA,NuVasive Inc. Common Stock,$57.85,0.15,0.26%,2988805730.00,United States,2004,766809,Health Care,Medical/Dental Instruments
NWL,Newell Brands Inc. Common Stock,$25.05,0.16,0.643%,10656270000.00,United States,,2034235,Consumer Non-Durables,Plastic Products
NXGN,NextGen Healthcare Inc. Common Stock,$14.98,-0.02,-0.133%,1007637864.00,United States,,194091,Health Care,Managed Health Care
NXTC,NextCure Inc. Common Stock,$7.54,0.31,4.288%,208191125.00,United States,2019,212657,Health Care,Biotechnology: Pharmaceutical Preparations
NYMT,New York Mortgage Trust Inc. Common Stock,$4.31,0.06,1.412%,1635207436.00,United States,,1541308,Consumer Services,Real Estate Investment Trusts
OCGN,Ocugen Inc. Common Stock,$8.28,1.13,15.804%,1645698281.00,United States,2014,77152429,Health Care,Biotechnology: Pharmaceutical Preparations
ODFL,Old Dominion Freight Line Inc. Common Stock,$289.87,-1.59,-0.546%,75532163329.00,United States,1991,621339,Transportation,Trucking Freight/Courier Services
OFS,OFS Capital Corporation Common Stock,$10.40,-0.09,-0.858%,139518444.00,United States,,48595,Finance,Finance/Investors Services
OLLI,Ollie's Bargain Outlet Holdings Inc. Common Stock,$69.85,-0.99,-1.398%,4545213192.00,United States,2015,828269,Consumer Services,Department/Specialty Retail Stores
OMQS,OMNIQ Corp. Common Stock,$9.63,-0.87,-8.286%,71460532.00,United States,,185532,Technology,EDP Services
ONB,Old National Bancorp Common Stock,$16.04,0.04,0.25%,2658151671.00,United States,,1398497,Finance,Major Banks
ONTX,Onconova Therapeutics Inc. Common Stock,$5.04,-0.09,-1.754%,79535917.00,United States,2013,168283,Health Care,Biotechnology: Pharmaceutical Preparations
ORGN,Origin Materials Inc. Common Stock,$7.38,-0.28,-3.655%,1042413709.00,United States,2020,1187175,Basic Industries,Industrial Specialties
ORRF,Orrstown Financial Services Inc Common Stock,$22.86,0.15,0.661%,257264634.00,United States,,10850,Finance,Major Banks
OSUR,OraSure Technologies Inc. Common Stock,$10.86,-0.92,-7.81%,782017099.00,United States,,916367,Health Care,Medical/Dental Instruments
