Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
WIRE,Encore Wire Corporation Common Stock,$85.15,0.25,0.294%,1758295984.00,United States,1992,84127,Basic Industries,Metal Fabrications
WISH,ContextLogic Inc. Class A Common Stock,$6.61,-0.19,-2.794%,4151080000.00,United States,2020,32313759,Capital Goods,Recreational Products/Toys
WKHS,Workhorse Group Inc. Common Stock,$8.70,-0.04,-0.458%,1078351567.00,United States,,5106183,Capital Goods,Auto Manufacturing
WOOF,Petco Health and Wellness Company Inc. Class A Common Stock,$22.25,0.49,2.252%,6721135486.00,United States,2021,1590789,Miscellaneous,Diversified Commercial Services
WSBC,WesBanco Inc. Common Stock,$31.74,0.44,1.406%,2075912645.00,United States,,401845,Finance,Major Banks
WSFS,WSFS Financial Corporation Common Stock,$44.23,0.78,1.795%,2102482559.00,United States,,208705,Finance,Major Banks
WTRH,Waitr Holdings Inc. Common Stock,$0.99,-0.05,-4.808%,118658977.00,United States,2016,6607659,Technology,Computer Software: Prepackaged Software
WW,WW International Inc. Common Stock,$21.91,0.32,1.482%,1530914867.00,United States,,1555691,Miscellaneous,Other Consumer Services
WWD,Woodward Inc. Common Stock,$123.11,2.27,1.879%,7830206941.00,United States,,295867,Capital Goods,Military/Government/Technical
XEL,Xcel Energy Inc. Common Stock,$67.08,-0.68,-1.004%,36118330549.00,United States,,2438343,Public Utilities,Power Generation
XLNX,Xilinx Inc. Common Stock,$155.02,-0.04,-0.026%,38362515713.00,United States,1990,1247480,Technology,Semiconductors
XOG,Extraction Oil & Gas Inc. Common Stock,$51.49,0.34,0.665%,1330535738.00,United States,,92842,Energy,Oil & Gas Production
XOMA,XOMA Corporation Common Stock,$25.32,-0.72,-2.765%,286400369.00,United States,1986,38514,Health Care,Biotechnology: Pharmaceutical Preparations
YELL,Yellow Corporation Common Stock,$5.54,0.05,0.911%,284053583.00,United States,,543042,Transportation,Trucking Freight/Courier Services
YORW,York Water Company (The) Common Stock,$45.22,-5.40,-10.668%,592084769.00,United States,,184003,Public Utilities,Water Supply
ZBRA,Zebra Technologies Corporation Class A Common Stock,$579.90,-0.73,-0.126%,30968380563.00,United States,1991,182988,Technology,Computer peripheral equipment
ZION,Zions Bancorporation N.A. Common Stock,$58.31,0.93,1.621%,9450328698.00,United States,,1263969,Finance,Major Banks
ZIOP,ZIOPHARM Oncology Inc Common Stock,$1.82,-0.08,-4.211%,392317649.00,United States,,2674398,Health Care,Biotechnology: Pharmaceutical Preparations
ZM,Zoom Video Communications Inc. Class A Common Stock,$290.24,-11.26,-3.735%,86238402276.00,United States,2019,4908162,Technology,Computer Software: Prepackaged Software
ZUMZ,Zumiez Inc. Common Stock,$38.41,0.63,1.668%,962516190.00,United States,2005,627626,,
