Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AMCX,AMC Networks Inc. Class A Common Stock,$46.98,1.12,2.442%,1983292787.00,United States,,414474,Consumer Services,Broadcasting
CLOV,Clover Health Investments Corp. Class A Common Stock,$8.37,-0.22,-2.561%,3688659000.00,United States,,17941255,Health Care,Medical Specialities
FIZZ,National Beverage Corp. Common Stock,$52.29,-0.26,-0.495%,4879720892.00,United States,,701268,Consumer Non-Durables,Beverages (Production/Distribution)
INVA,Innoviva Inc. Common Stock,$15.22,-0.31,-1.996%,1057707538.00,United States,,458441,Health Care,Biotechnology: Pharmaceutical Preparations
MVST,Microvast Holdings Inc. Common Stock,$9.98,-1.68,-14.408%,2999152135.00,United States,2019,2912768,Capital Goods,Industrial Machinery/Components
PAHC,Phibro Animal Health Corporation Class A Common Stock,$22.46,-0.14,-0.619%,909711036.00,United States,2014,69541,,
