,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Prediction
362,0.09,0.19,1.74,0.77,0.48,5.73,0.64,2.49,0.02,Buy
366,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
370,0.09,0.19,1.73,0.07,0.31,-0.24,0.52,1.84,0.03,Buy
376,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
379,0.39,0.06,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
381,0.04,0.31,1.01,0.07,5.9,20.75,0.94,2.66,0.03,Buy
386,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
389,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
400,0.09,0.19,1.65,0.13,1.1,6.39,0.76,6.76,0.17,Buy
403,0.09,0.19,1.73,-0.08,0.4,2.89,0.08,1.7,0.06,Buy
406,0.17,0.45,1.45,0.16,16.65,46.97,0.84,2.02,0.03,Buy
407,0.09,0.19,1.24,0.08,4.17,18.28,0.87,5.35,0.06,Buy
408,0.09,0.19,0.28,0.34,3.35,28.49,0.08,2.9,0.06,Buy
418,0.12,0.22,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
419,0.09,0.19,1.73,-0.34,-0.32,11.51,0.19,1.91,0.06,Buy
422,0.01,0.2,0.97,0.23,1.73,16.89,0.72,4.17,0.06,Buy
432,0.09,0.19,1.73,-0.0,0.36,5.04,0.69,1.37,0.01,Buy
434,0.09,0.09,2.34,-0.24,2.2,9.08,0.7,1.78,0.06,Buy
437,0.09,0.19,1.73,-0.52,-0.03,3.7,0.56,2.1,0.06,Buy
447,0.08,0.28,0.42,0.18,6.37,18.7,0.66,2.02,0.01,Buy
450,0.09,0.19,0.66,0.19,2.26,13.1,0.08,1.23,0.06,Buy
456,0.09,0.19,1.0,0.06,15.24,154565.84,0.04,1.5,0.06,Buy
457,0.37,0.14,1.22,0.06,1.61,-8.18,1.04,4.73,0.06,Buy
458,0.09,0.19,1.11,0.32,2.02,20.87,0.72,5.37,0.05,Buy
459,0.06,0.21,1.34,0.31,13.93,133.0,0.84,3.97,0.02,Buy
461,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
466,0.09,0.19,1.66,0.09,2.05,29.97,0.99,6.56,0.19,Buy
477,0.09,0.19,0.9,0.21,4.7,10.35,0.41,5.21,0.07,Buy
480,0.09,0.19,0.35,0.11,3.48,20.85,0.69,7.8,0.06,Buy
481,0.07,-0.03,2.7,0.0,0.68,30.95,0.74,4.07,0.06,Buy
483,0.09,0.19,2.63,0.04,2.1,14.59,0.97,4.22,0.02,Buy
492,0.09,0.19,1.73,0.04,2.97,18.21,1.1,9.73,0.18,Buy
493,0.09,0.19,0.39,0.24,3.52,27.46,0.83,8.15,0.03,Buy
496,0.04,0.12,0.34,0.15,6.7,19.81,0.68,1.58,0.01,Buy
501,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
502,0.09,0.19,2.32,-0.16,3.32,4.92,0.95,4.34,0.15,Buy
509,0.09,0.19,1.61,0.06,2.41,1.97,1.1,11.33,0.27,Buy
517,0.0,0.09,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
527,0.06,0.43,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
531,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
548,-0.04,0.01,0.91,0.12,1.22,18.81,0.98,7.59,0.13,Buy
549,0.09,0.19,1.28,-0.35,1.26,-0.03,0.61,2.54,0.07,Buy
553,0.09,0.19,1.1,0.13,0.59,1665.55,0.03,2.76,0.06,Buy
565,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
568,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
570,0.0,0.23,1.58,0.08,8.93,41.34,0.9,4.85,0.07,Buy
573,0.3,0.02,1.51,0.19,2.44,5.62,0.97,9.16,0.06,Buy
581,0.33,0.4,1.26,0.1,7.0,27.11,0.85,1.36,0.01,Buy
582,0.09,0.19,2.11,-0.03,4.64,721.46,0.08,2.67,0.06,Buy
586,0.01,-0.01,0.82,-0.04,1.02,8.99,0.81,2.51,0.04,Buy
587,0.09,0.19,1.46,0.2,11.01,43.55,0.21,2.48,0.06,Buy
598,0.09,0.19,2.26,0.01,0.94,5.56,0.57,10.44,0.05,Buy
611,0.09,0.19,1.73,-0.34,-1.29,-7.81,0.86,5.04,0.04,Buy
616,-0.03,0.18,0.21,0.16,4.31,34.34,0.74,2.37,0.01,Buy
629,0.33,0.44,2.15,0.07,7.92,21.66,0.7,2.31,0.23,Buy
630,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
632,-0.12,0.1,1.06,0.07,3.15,16.88,0.92,5.28,0.03,Buy
634,0.09,0.19,1.73,0.08,-0.53,1.04,0.69,3.29,0.12,Buy
639,0.23,0.2,1.51,0.0,-0.35,2.05,0.01,1.74,0.02,Sell
640,0.05,0.31,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
641,0.1,0.33,1.97,0.05,1.28,15.84,0.74,0.61,0.06,Sell
642,-0.02,0.38,1.8,-0.22,-0.99,-1.06,0.25,3.91,0.01,Sell
643,0.0,0.02,0.24,0.0,0.14,3.21,0.2,4.05,0.01,Sell
644,0.13,0.29,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
