,Symbol,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Analyst
4064,RS,0.25,0.02,1.04,0.08,14.3,88.59,0.85,2.05,0.01,Strong Buy
4067,RTX,0.01,0.14,1.01,0.05,5.04,47.6,0.81,2.19,0.01,Strong Buy
4078,SAIC,-0.06,0.18,0.87,0.04,7.14,27.9,0.79,2.63,0.01,Strong Buy
4086,SCHW,0.13,0.15,1.02,0.3,3.63,30.4,0.74,2.23,0.01,Strong Buy
4096,SHW,0.01,0.28,1.09,0.1,10.15,10.28,0.78,3.03,0.02,Strong Buy
4103,SKX,0.02,-0.1,1.52,0.06,3.01,17.54,0.94,2.38,0.03,Strong Buy
4104,SLB,0.02,0.43,2.3,0.07,1.59,9.53,0.79,2.18,0.02,Strong Buy
4105,SMAR,-0.01,0.28,1.46,-0.31,-0.26,4.07,0.9,3.06,0.04,Strong Buy
4107,SMG,-0.05,0.11,1.12,0.11,8.63,20.11,0.63,2.63,0.03,Strong Buy
4113,SNX,0.14,0.58,1.61,0.02,10.6,45.58,0.88,5.21,0.01,Strong Buy
4117,SPGI,0.06,0.23,0.95,0.35,14.55,7.66,0.95,16.19,0.07,Strong Buy
4119,SPOT,0.12,0.15,1.49,-0.03,-0.02,14.11,0.6,5.59,0.04,Strong Buy
4120,SPR,-0.07,0.2,1.95,-0.21,-0.01,5.31,0.77,2.69,0.04,Strong Buy
4122,SQ,0.17,0.26,2.43,0.04,2.41,5.87,0.63,5.61,0.1,Strong Buy
4134,STE,0.12,0.1,0.57,0.08,8.67,65.91,0.94,2.56,0.01,Strong Buy
4138,STT,0.11,0.07,1.56,0.21,8.44,69.3,0.87,1.36,0.01,Strong Buy
4140,STWD,0.22,0.16,1.68,0.65,2.18,15.56,0.5,3.8,0.02,Strong Buy
4141,STZ,-0.02,-0.35,1.16,0.09,11.87,59.57,0.84,1.97,0.02,Strong Buy
4148,SWK,-0.08,0.28,1.42,0.11,12.3,63.41,0.88,2.11,0.01,Strong Buy
4151,SYF,0.13,0.4,1.77,0.45,5.7,24.12,1.01,2.4,0.02,Strong Buy
4152,SYK,-0.1,0.3,0.99,0.13,10.43,36.65,0.75,3.26,0.01,Strong Buy
4153,SYY,0.09,0.24,1.39,0.01,4.22,3.03,0.83,3.54,0.02,Strong Buy
4158,TDC,0.0,0.16,1.19,0.05,1.79,4.33,0.95,7.47,0.11,Strong Buy
4159,TDG,-0.16,0.05,1.6,0.12,17.18,-56.98,0.98,7.73,0.05,Strong Buy
4160,TDY,0.06,0.29,1.14,0.1,17.16,155.48,0.9,1.69,0.01,Strong Buy
4165,TFX,0.08,0.06,1.17,0.13,14.38,74.09,0.98,2.61,0.02,Strong Buy
4167,TGT,0.27,0.06,1.0,0.06,12.96,30.35,0.82,3.1,0.02,Strong Buy
4173,TJX,0.08,0.34,1.0,0.06,3.38,5.33,0.91,1.51,0.01,Strong Buy
4178,TMO,0.14,0.23,0.73,0.22,21.44,93.68,0.9,1.77,0.01,Strong Buy
4186,TPR,0.13,0.4,1.52,0.15,3.72,11.66,0.92,2.25,0.03,Strong Buy
4188,TPX,0.13,0.24,1.87,0.12,3.7,2.04,0.96,4.45,0.04,Strong Buy
4189,TRGP,0.32,0.29,2.94,0.03,2.49,9.56,0.89,2.72,0.02,Strong Buy
4204,TWLO,0.1,0.38,1.5,-0.33,0.03,62.53,0.85,3.17,0.03,Strong Buy
4205,TXT,0.04,0.37,1.77,0.06,3.36,27.19,0.87,4.12,0.03,Strong Buy
4206,TYL,0.09,0.11,0.62,0.11,8.01,53.82,0.93,4.82,0.04,Strong Buy
4209,UBER,0.02,0.05,1.32,-0.08,-0.6,7.54,0.76,3.13,0.05,Strong Buy
4213,UGI,0.31,0.17,1.01,0.13,3.21,23.36,0.84,3.55,0.02,Strong Buy
4217,UNH,0.11,-0.13,0.79,0.06,21.65,76.71,0.89,1.97,0.01,Strong Buy
4218,UNP,0.06,0.14,1.15,0.29,11.38,21.6,0.81,2.26,0.01,Strong Buy
4228,VAC,0.06,-0.19,2.58,-0.06,9.55,69.83,0.83,6.75,0.06,Strong Buy
4232,VEEV,0.15,0.2,0.79,0.26,4.09,17.09,0.9,2.32,0.01,Strong Buy
4235,VFC,0.05,0.17,1.48,0.11,3.72,9.19,0.86,3.41,0.03,Strong Buy
4239,VLO,0.35,0.25,2.03,-0.0,6.0,43.17,0.8,3.1,0.03,Strong Buy
4247,VST,0.12,0.36,0.9,-0.13,1.75,12.59,0.93,2.72,0.03,Strong Buy
4250,VVV,0.09,0.11,1.38,0.13,2.15,0.13,0.95,3.34,0.02,Strong Buy
4252,WAB,0.06,0.38,1.67,0.06,4.86,54.37,0.92,5.21,0.03,Strong Buy
4253,WAL,0.52,0.32,1.58,0.47,9.64,40.87,0.89,2.75,0.02,Strong Buy
4259,WELL,0.01,0.4,1.05,0.13,1.13,37.68,0.96,6.62,0.04,Strong Buy
4261,WFC,0.4,0.2,1.29,0.24,3.69,42.44,0.74,1.5,0.01,Strong Buy
4264,WH,0.08,-0.04,1.69,0.16,3.49,12.0,0.96,4.6,0.04,Strong Buy
4267,WLK,0.16,0.05,1.4,0.1,10.59,52.84,0.27,3.02,0.05,Strong Buy
4269,WMB,-0.04,0.2,1.46,0.13,1.23,9.45,0.85,3.42,0.03,Strong Buy
4270,WMT,0.16,0.29,0.5,0.02,6.6,28.85,0.32,1.97,0.01,Strong Buy
4274,WPC,-0.07,0.29,0.76,0.36,2.25,39.62,0.59,5.31,0.03,Strong Buy
4276,WRK,0.24,0.36,1.25,-0.04,5.23,42.9,0.86,2.37,0.02,Strong Buy
4277,WST,0.11,0.16,1.01,0.21,8.9,27.47,0.96,2.98,0.02,Strong Buy
4278,WTRG,0.03,0.37,0.56,0.23,1.79,19.68,0.75,2.61,0.01,Strong Buy
4279,WWE,0.0,0.22,1.42,0.14,2.29,4.75,1.16,11.36,0.2,Strong Buy
4281,WY,0.09,0.14,1.81,0.23,1.71,13.87,0.85,3.3,0.02,Strong Buy
4282,XEC,0.48,0.19,2.6,-0.01,11.48,17.55,0.99,2.83,0.03,Strong Buy
4285,XPO,0.07,0.36,2.1,0.03,4.65,26.2,0.9,1.54,0.02,Strong Buy
4288,YETI,0.25,0.11,2.65,0.16,2.91,4.39,0.98,5.25,0.08,Strong Buy
4290,ZBH,0.01,0.17,1.3,0.12,8.6,60.27,0.92,2.06,0.01,Strong Buy
4291,ZEN,0.12,0.04,1.19,-0.19,1.01,3.87,0.98,5.16,0.06,Strong Buy
4298,ZTS,0.16,0.32,0.65,0.26,5.11,9.17,0.93,1.8,0.01,Strong Buy
4301,APRN,-0.02,0.18,-3.73,-0.13,-1.19,2.39,0.31,0.69,0.11,Strong Sell
4307,GCI,0.13,0.32,2.73,-0.09,0.46,3.86,0.64,11.92,0.13,Strong Sell
4312,NMM,0.44,0.35,2.57,0.55,15.14,48.0,0.06,0.27,0.0,Strong Sell
4318,TCS,0.25,0.14,1.3,0.09,1.12,7.48,0.86,7.59,0.11,Strong Sell
